owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Justice,Department of Justice,FY2019Q4,015-5606,"Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,2672853.51,5166788.61,1233680.83,0.00,0.00,0.00,0.00,9073322.95,8721779.00,166788.61,351543.95,3678264.59,9073322.95,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-5608,"United States Victims of State Sponsored Terrorism Fund, General Legal Activities, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,1162795621.10,621729.47,1089339290.05,0.00,0.00,0.00,0.00,2252756640.62,1074944376.98,621729.47,1177812263.64,1075852958.22,2252756640.62,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-8116,"Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,20437485.22,262500.00,45000000.00,0.00,0.00,0.00,0.00,65699985.22,63130841.27,262500.00,2569143.95,62899174.60,65699985.22,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-8305,"Justice Gift Fund, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,2279.28,0.00,0.00,0.00,0.00,0.00,0.00,2279.28,0.00,0.00,2279.28,8990.00,2279.28,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-8306,"Gifts, Crime Victims Fund, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,24610.80,0.00,370.00,0.00,0.00,0.00,0.00,24980.80,0.00,0.00,24980.80,0.00,24980.80,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-8408,"Commissary Funds, Federal Prisons, Justice",Department of Justice,Administration of Justice,Federal correctional activities,49701780.05,0.00,0.00,0.00,0.00,347883259.79,347883259.79,397585039.84,349240051.12,0.00,48344988.72,351429056.58,397585039.84,2019-11-14
Department of Justice,Department of Justice,FY2019Q4,015-8594,"Office of Justice Programs, Community Oriented Policing Services, Violent Crime Reduction Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,245864.66,1498.51,0.00,0.00,0.00,0.00,0.00,247363.17,0.00,1498.51,247363.17,0.00,247363.17,2019-11-14
Department of Labor,Department of Labor,FY2019Q4,016-0106,"Office of the Inspector General, Departmental Management, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,1949651.32,186053.64,83987000.00,0.00,0.00,6078933.37,6078933.37,92201638.33,89942136.04,701649.79,2259502.29,90033215.45,92201638.33,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0143,"Salaries and Expenses, Wage and Hour Division, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,4393761.85,1780843.74,229000000.00,0.00,0.00,2800000.00,2800000.00,237974605.59,232034479.91,6252256.58,5940125.68,235015643.89,237974605.59,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0148,"Salaries and Expenses, Office of Federal Contract and Compliance Programs, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,3643757.63,826844.31,103476000.00,0.00,0.00,0.00,0.00,107946601.94,103345417.47,1787913.07,4601184.47,98523978.30,107946601.94,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0150,"Salaries and Expenses, Office of Labor Management and Standards, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,896500.60,-207219.68,41187000.00,0.00,0.00,1235000.00,1235000.00,43111280.92,42586182.00,331363.07,525098.92,42135318.61,43111280.92,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0162,"IT Modernization, Departmental Management, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,7196341.80,106285.56,23269000.00,0.00,0.00,0.00,0.00,30571627.36,27753412.79,620859.46,2818214.57,27636125.57,30571627.36,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0163,"Salaries and Expenses, Office  of Workers' Compensation Programs, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,2609662.75,82677.67,115424000.00,0.00,0.00,38051748.00,38051748.00,156168088.42,153660480.48,590254.36,2507607.94,152857857.94,156168088.42,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0164,"Veterans Employment and Training, Departmental Management, Labor",Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",10440954.54,2676513.99,50000000.00,0.00,0.00,250041000.00,250041000.00,313158468.53,300513732.04,10746404.05,12644736.49,282101714.37,313158468.53,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0165,"Salaries and Expenses, Departmental Management, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,50466486.76,5956632.24,338481000.00,0.00,0.00,56281107.00,56281107.00,451185226.00,392957615.52,8543120.99,58227610.48,404539687.83,451185226.00,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0166,"Salaries and Expenses, Office of Disability Employment Policy, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,1040495.08,-271734.74,38203000.00,0.00,0.00,0.00,0.00,38971760.34,38260298.13,603127.78,711462.21,38711784.04,38971760.34,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0168,"Short Time Compensation Programs, Employment and Training Administration, Labor",Department of Labor,Income Security,Unemployment compensation,853456.54,121684.16,0.00,0.00,0.00,0.00,0.00,975140.70,6112.16,121684.16,969028.54,0.00,975140.70,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0169,"Special Benefits for Disabled Coal Miners, Office of Workers' Compensation Program, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,85384767.41,25054.69,24989222.00,0.00,0.00,0.00,0.00,110399044.10,69977393.78,25054.69,40421650.32,69813668.50,110399044.10,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0172,"Program Administration, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,4217540.05,4617505.26,108674000.00,0.00,0.00,54913234.19,54913234.19,172422279.50,165954903.76,3119615.87,6467375.74,158030239.77,172422279.50,2019-11-05
Department of Labor,Department of Labor;Department of the Interior,FY2019Q4,016-0174,"Training and Employment Service, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,471827285.79,19967656.59,3499029000.00,0.00,0.00,74746.00,74746.00,3990898688.38,3473010234.26,78500430.58,517888454.12,3210390231.36,3990898688.38,2019-11-08
Department of Labor,Department of Labor,FY2019Q4,016-0175,"Community Service Employment for Older Americans, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,10017675.33,11054439.61,400000000.00,0.00,0.00,0.00,0.00,421072114.94,403997414.87,12557362.29,17074700.07,393081403.52,421072114.94,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0178,"Payments to the Unemployment Trust Fund, Employment and Training Administration, Labor",Department of Labor,Income Security,Unemployment compensation,0.00,0.00,971120.00,0.00,0.00,0.00,0.00,971120.00,971120.00,0.00,0.00,971120.00,971120.00,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0179,"State Unemployment Insurance and Employment Service Operations, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,100057006.94,11552183.77,92316000.00,0.00,0.00,3297170935.69,3297170935.69,3501096126.40,3412142062.49,15145351.59,88954063.91,3430135600.35,3501096126.40,2019-11-05
Department of Labor,Department of Agriculture;Department of Labor,FY2019Q4,016-0181,"Office of Job Corps, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,1281485951.28,7690766.80,1718655000.00,0.00,0.00,0.00,0.00,3007831718.08,1602552938.18,51869841.54,1405278779.90,1522490583.09,3007831718.08,2019-11-13
Department of Labor,Department of Labor,FY2019Q4,016-0182,"Office of Job Corps - Recovery Act, Departmental Management, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,1095037.08,162465.04,0.00,0.00,0.00,0.00,0.00,1257502.12,0.00,162465.04,1257502.12,2777929.84,1257502.12,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0184,"Interior, Bureau of Indian Affairs",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,22913265.00,0.00,0.00,0.00,0.00,0.00,0.00,22913265.00,0.00,0.00,22913265.00,402684.55,22913265.00,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0187,"TAA Community College and Career Training Grant Fund, Employee and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,5440.71,-5440.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18363845.45,0.00,18445272.94,0.00,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0200,"Salaries and Expenses, Bureau of Labor Statistics",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,5762305.58,3272138.90,550000000.00,0.00,0.00,96454142.17,96454142.17,655488586.65,647764487.79,4948705.72,7724098.86,635210476.39,655488586.65,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0326,"Federal Unemployment Benefits and Allowances, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,380891572.52,119744704.47,741020000.00,0.00,0.00,0.00,0.00,1241656276.99,582706903.34,243224321.33,658949373.65,331096004.62,1241656276.99,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-0400,"Salaries and Expenses, Occupational Safety and Health Administration",Department of Labor,Health,Consumer and occupational health and safety,12146252.93,2823305.97,557233000.00,0.00,0.00,2069841.38,2069841.38,574272400.28,560341626.23,9402414.13,13930774.05,553143306.07,574272400.28,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1200,"Salaries and Expenses, Mine Safety and Health Administration",Department of Labor,Health,Consumer and occupational health and safety,4868688.23,468406.62,373816000.00,0.00,0.00,1692085.92,1692085.92,380845180.77,376284309.06,2777190.68,4560871.71,364084812.28,380845180.77,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1521,"Special Benefits, Office of Workers Compensation Program, Labor",Department of Labor,Income Security,Federal employee retirement and disability,1497011658.79,775434.40,230000000.00,0.00,0.00,2899719150.10,2899719150.10,4627506243.29,3090707554.18,775434.40,1536798689.11,3096789224.81,4627506243.29,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1523,"Energy Employees Occupational Illness Compensation Fund, Labor",Department of Labor,National Defense,Atomic energy defense activities,0.00,0.00,1430370213.68,0.00,0.00,8130750.79,8130750.79,1438500964.47,1438500964.47,0.00,0.00,1444171664.06,1438500964.47,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1524,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",Department of Labor,National Defense,Atomic energy defense activities,2649142.66,3339769.90,125108702.77,0.00,0.00,0.00,0.00,131097615.33,129856346.14,3339769.90,1241269.19,128569804.65,131097615.33,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1700,"Salaries and Expenses, Employee Benefits Security Administration, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,6530482.30,-105749.73,181000000.00,0.00,0.00,7365746.00,7365746.00,194790478.57,190552283.14,2194829.51,4238195.43,185713034.91,194790478.57,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1800,"Federal Additional Unemployment Compensation Program - Recovery Act, Employment and Training Administration, Labor",Department of Labor,Income Security,Unemployment compensation,0.00,153730.85,0.00,0.00,0.00,0.00,0.00,153730.85,0.00,153730.85,153730.85,0.00,153730.85,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-1801,"Federal Unemployment Compensation Program, Employment and Training Administration, Labor",Department of Labor,Income Security,Unemployment compensation,0.00,9144.81,99950.19,0.00,0.00,0.00,0.00,109095.00,109095.00,2853163.02,0.00,111729.95,109095.00,2019-11-05
Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,FY2019Q4,016-4204,"Pension Benefit Guaranty Corporation Fund, Pension Benefit Guaranty Corporation, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,30683800879.30,0.00,0.00,0.00,0.00,12100467612.88,12100467612.88,42784268492.18,6510482314.69,0.00,36273786177.49,6472349829.87,42784268492.18,2019-11-12
Department of Labor,Department of Labor,FY2019Q4,016-4601,"Working Capital Fund, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,28973443.36,15471245.60,200000.00,0.00,0.00,410141122.22,410141122.22,454785811.18,402732469.75,9971245.60,52053341.43,415192504.50,454785811.18,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-5142,"Salaries and Expenses, H-1B Funded, State Unemployment Insurance and Employment Operations, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,11825495.05,442819.13,19662266.50,0.00,0.00,0.00,0.00,31930580.68,20706449.68,442819.13,11224131.00,33681673.59,31930580.68,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-5152,"Salaries and Expenses, H-1B Funded, Training and Employment Services, Employment and Training Administration, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Training and employment,335270506.75,264138.45,188372670.00,0.00,0.00,0.00,0.00,523907315.20,188073818.64,264138.45,335833496.56,155853948.02,523907315.20,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-5155,"Panama Canal Commission Compensation Fund, Labor",Department of Labor,Income Security,Federal employee retirement and disability,29209448.17,0.00,807541.22,0.00,0.00,0.00,0.00,30016989.39,4181668.18,0.00,25835321.21,4181668.18,30016989.39,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-5393,"H-1B and L Fraud Protection and Detection Account, Wage and Hour Division, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,6892872.37,33538.76,52110372.61,0.00,0.00,0.00,0.00,59036783.74,47952957.46,33538.76,11083826.28,48036159.95,59036783.74,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-5623,"HIRE Vets Medallion Award Fund, Departmental Management, Labor",Department of Labor,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",0.00,0.00,74100.00,0.00,0.00,0.00,0.00,74100.00,0.00,0.00,74100.00,0.00,74100.00,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-8042,"Unemployment Trust Fund - Treasury Managed, Labor",Department of Labor,Income Security,Unemployment compensation,0.00,0.00,30911384437.49,0.00,0.00,0.00,0.00,30911384437.49,30911384437.49,0.00,0.00,31224195307.53,30911384437.49,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-8130,"Relief and Rehabilitation, Longshoremen's and Harbor Workers' Compensation Act, as Amended, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,61390237.07,0.00,94971683.94,0.00,0.00,0.00,0.00,156361921.01,99555138.61,0.00,56806782.40,99099106.94,156361921.01,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-8131,"Gifts and Bequests, Departmental Management, Labor",Department of Labor,"Education, Training, Employment, and Social Services",Other labor services,144824.59,0.00,0.00,0.00,0.00,0.00,0.00,144824.59,0.00,0.00,144824.59,1750.00,144824.59,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-8134,"Relief and Rehabilitation, Workmen's Compensation Act, within the District of Columbia, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,5446907.27,0.00,5112117.29,0.00,0.00,0.00,0.00,10559024.56,6494785.14,0.00,4064239.42,6459947.07,10559024.56,2019-11-05
Department of Labor,Department of Labor,FY2019Q4,016-8144,"Black Lung Disability Trust Fund - Treasury Managed, Labor",Department of Labor,Income Security,General retirement and disability insurance (excluding social se,0.00,0.00,277093709.72,51484231.99,0.00,0.00,51484231.99,328577941.71,328577941.71,0.00,0.00,326438862.94,328577941.71,2019-11-05
Department of Defense,Department of Defense,FY2019Q4,017-0380,"Coastal Defense Augmentation, Navy",Department of the Navy,National Defense,Department of Defense-Military,4410866.40,0.00,0.00,0.00,0.00,0.00,0.00,4410866.40,0.00,0.00,4410866.40,0.00,4410866.40,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-0730,"Family Housing Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,217885566.73,-1012324.02,102443000.00,0.00,0.00,0.00,0.00,319316242.71,202297283.09,1580182.09,117018959.62,15734695.03,319316242.71,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-0735,"Family Housing Operation and Maintenance, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,178092450.12,-22236930.41,314536000.00,0.00,0.00,10499699.19,10499699.19,480891218.90,335961030.99,32049708.06,144930187.91,287362256.83,480891218.90,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-0810,"Environmental Restoration, Navy",Department of the Navy,National Defense,Department of Defense-Military,42597.16,0.00,0.00,0.00,0.00,0.00,0.00,42597.16,0.00,0.00,42597.16,0.00,42597.16,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1000,"Medicare-Eligible Retiree Health Fund Contribution, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,1465880000.00,0.00,0.00,0.00,0.00,1465880000.00,1465880000.00,0.00,0.00,1465880000.00,1465880000.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1001,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,830962000.00,0.00,0.00,0.00,0.00,830962000.00,830962000.00,0.00,0.00,830962000.00,830962000.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1002,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,130504000.00,0.00,0.00,0.00,0.00,130504000.00,130504000.00,0.00,0.00,130504000.00,130504000.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1003,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.00,0.00,73987000.00,0.00,0.00,0.00,0.00,73987000.00,73987000.00,0.00,0.00,73987000.00,73987000.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1105,"Military Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,406062930.47,-9424433.22,13837962000.00,0.00,0.00,34295554.62,34295554.62,14268896051.87,13832489880.37,151350747.84,436406171.50,13863758092.05,14268896051.87,2020-01-17
Department of Defense,Department of Defense;Department of Transportation,FY2019Q4,017-1106,"Operation and Maintenance, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,288868691.63,237256082.27,8746828913.00,0.00,0.00,273710076.40,273710076.40,9546663763.30,9349596486.05,481505526.36,197067277.25,8475599145.85,9546663763.30,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1107,"Operation and Maintenance, Marine Corps Reserve",Department of the Navy,National Defense,Department of Defense-Military,32484127.84,160513.21,275465000.00,0.00,0.00,617086.98,617086.98,308726728.03,281839393.23,18565112.16,26887334.80,262832289.20,308726728.03,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1108,"Reserve Personnel, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,34797445.86,20962984.82,785067000.00,0.00,0.00,7230203.78,7230203.78,848057634.46,808496695.29,24647786.72,39560939.17,788960909.78,848057634.46,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1109,"Procurement, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,546071988.08,-30519034.95,2756145378.00,0.00,0.00,62283.00,62283.00,3271760614.13,2585579860.96,72084946.52,686180753.17,2221669288.96,3271760614.13,2020-01-17
Department of Defense,Department of Defense;Department of Transportation,FY2019Q4,017-1205,"Military Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,3068318858.07,145394117.90,3192789000.00,0.00,0.00,217835412.76,217835412.76,6624337388.73,2895292634.36,156059074.69,3729044754.37,2151671545.34,6624337388.73,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1235,"Military Construction, Naval Reserve",Department of the Navy,National Defense,Department of Defense-Military,146455551.33,-1145003.66,43065000.00,0.00,0.00,0.00,0.00,188375547.67,82427781.63,2479565.00,105947766.04,43430732.22,188375547.67,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1236,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,40039.75,0.00,0.00,0.00,0.00,0.00,0.00,40039.75,0.00,0.00,40039.75,0.00,40039.75,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1319,"Research, Development, Test, and Evaluation, Navy",Department of the Navy,National Defense,Department of Defense-Military,2521763608.54,754766930.67,18738362819.00,0.00,0.00,326300906.70,326300906.70,22341194264.91,19895843272.12,868298528.99,2445350992.79,18763712847.76,22341194264.91,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1405,"Reserve Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,49135680.35,33180827.88,2062618500.00,0.00,0.00,32492175.72,32492175.72,2177427183.95,2127650485.50,40982200.18,49776698.45,2107340805.52,2177427183.95,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1453,"Military Personnel, Navy",Department of the Navy,National Defense,Department of Defense-Military,553431504.98,85479026.97,30466081000.00,0.00,0.00,404937734.92,404937734.92,31509929266.87,31190088463.06,477701866.34,319840803.81,30680904418.49,31509929266.87,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1506,"Aircraft Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,9468729008.27,783589210.57,20198749807.00,0.00,0.00,29437801.74,29437801.74,30480505827.58,21199224139.54,1168203289.83,9281281688.04,16370963197.05,30480505827.58,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1507,"Weapons Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,1401237429.77,50804584.09,3595200131.00,0.00,0.00,11984029.74,11984029.74,5059226174.60,3533999722.63,119097014.62,1525226451.97,2958191016.98,5059226174.60,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1508,"Procurement of Ammunition, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,161636851.12,56021548.80,1180249000.00,0.00,0.00,9511326.81,9511326.81,1407418726.73,1176390572.97,59064731.63,231028153.76,932378041.36,1407418726.73,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1611,"Shipbuilding and Conversion, Navy",Department of the Navy,National Defense,Department of Defense-Military,20268311006.05,1004858421.90,20751666000.00,0.00,0.00,230726.00,230726.00,42025066153.95,22347450947.72,1352677794.15,19677615206.23,17015950934.72,42025066153.95,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1612,"National Sea-Based Deterrence Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,19422446.56,19925418.92,3173400000.00,0.00,0.00,0.00,0.00,3212747865.48,3188990963.91,19953418.92,23756901.57,1024536425.33,3212747865.48,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1804,"Operation and Maintenance, Navy",Department of the Navy,National Defense,Department of Defense-Military,3113028599.53,1519274248.74,53951743899.00,0.00,0.00,4224510449.42,4224510449.42,62808557196.69,60381726424.50,2797929029.32,2426830772.19,57443524797.01,62808557196.69,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1806,"Operation and Maintenance, Navy Reserve",Department of the Navy,National Defense,Department of Defense-Military,99934159.04,37491145.93,1055578000.00,0.00,0.00,1941448.60,1941448.60,1194944753.57,1108815676.20,74852820.02,86129077.37,978579212.38,1194944753.57,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-1810,"Other Procurement, Navy",Department of the Navy,National Defense,Department of Defense-Military,2672797361.00,400052117.30,9281535100.00,0.00,0.00,195512095.84,195512095.84,12549896674.14,10027426703.17,523420371.50,2522469970.97,7859362355.35,12549896674.14,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-4557,"National Defense Sealift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,80313820.36,20965890.47,216373000.00,0.00,0.00,0.00,0.00,317652710.83,198780586.31,20965890.47,118872124.52,234998845.49,317652710.83,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-5095,"Wildlife Conservation, Etc., Military Reservations, Navy",Department of the Navy,Natural Resources and Environment,Recreational resources,1431392.78,2284.98,180596.35,0.00,0.00,0.00,0.00,1614274.11,105624.55,2284.98,1508649.56,58398.72,1614274.11,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-5185,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,9824.06,0.00,0.00,0.00,0.00,0.00,0.00,9824.06,0.00,0.00,9824.06,0.00,9824.06,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-5562,Ford Island Improvement Account,Department of the Navy,National Defense,Department of Defense-Military,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,100000.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-8716,"Department of the Navy General Gift Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,7846493.07,0.00,7036799.97,0.00,0.00,0.00,0.00,14883293.04,2451063.22,0.00,12432229.82,2053334.12,14883293.04,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-8723,"Ships' Stores Profits, Navy",Department of the Navy,National Defense,Department of Defense-Military,1659103.57,0.00,10519674.52,0.00,0.00,0.00,0.00,12178778.09,9902597.81,0.00,2276180.28,9902597.81,12178778.09,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,017-8733,United States Naval Academy General Gift Fund,Department of the Navy,National Defense,Department of Defense-Military,23260040.88,0.00,23883807.46,0.00,0.00,0.00,0.00,47143848.34,16667267.02,0.00,30476581.32,23068051.87,47143848.34,2020-01-17
Department of State,Department of State,FY2019Q4,019-0107,"Salaries and Expenses, State",Department of State,International Affairs,Conduct of foreign affairs,1324177.30,0.00,0.00,0.00,0.00,0.00,0.00,1324177.30,0.00,0.00,1324177.30,0.00,1324177.30,2019-11-15
Department of State,Department of State,FY2019Q4,019-0113,"Diplomatic and Consular Programs, State",Department of State,International Affairs,Conduct of foreign affairs,4564741466.61,-1159296762.97,8877823000.00,0.00,0.00,1444015082.35,1444015082.35,13727282785.99,10694904282.16,752332825.90,3032378503.83,11229058039.41,13727282785.99,2019-11-15
Department of State,Department of State,FY2019Q4,019-0120,"Capital Investment Fund, State",Department of State,International Affairs,Conduct of foreign affairs,1317079.13,600838.23,92770000.00,0.00,0.00,0.00,0.00,94687917.36,93870775.43,600838.23,817141.93,160375094.41,94687917.36,2019-11-15
Department of State,Department of State,FY2019Q4,019-0121,"Conflict Stabilization Operations, State",Department of State,International Affairs,Conduct of foreign affairs,10584174.09,363544.10,0.00,0.00,0.00,0.00,0.00,10947718.19,8384197.07,363544.10,2563521.12,3279400.75,10947718.19,2019-11-15
Department of State,Department of State,FY2019Q4,019-0201,"International Information Programs, State",Department of State,International Affairs,Foreign information and exchange activities,954868.37,0.00,0.00,0.00,0.00,0.00,0.00,954868.37,0.00,0.00,954868.37,0.00,954868.37,2019-11-15
Department of State,Department of State,FY2019Q4,019-0202,"East-West Center, State",Department of State,International Affairs,Foreign information and exchange activities,0.00,0.00,16700000.00,0.00,0.00,0.00,0.00,16700000.00,16700000.00,0.00,0.00,17481012.00,16700000.00,2019-11-15
