owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Agriculture,Department of Agriculture,FY2021P12,012-2081,"Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",Department of Agriculture,Commerce and Housing Credit,Mortgage credit,47615766.20,3891880.56,629470625.48,0.00,0.00,0.00,0.00,680978272.24,578650760.12,6382994.90,102327512.12,588610964.45,680978272.24,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2274,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",Department of Agriculture,International Affairs,International development and humanitarian assistance,16912619.71,-16912619.71,0.00,0.00,0.00,76918588.33,76918588.33,76918588.33,0.00,0.00,76918588.33,0.00,76918588.33,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2277,"Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,944591.02,0.00,3986639.00,0.00,0.00,0.00,0.00,4931230.02,3986639.00,0.00,944591.02,3986639.00,4931230.02,2021-11-15
Department of Agriculture,Agency for International Development;Department of Agriculture,FY2021P12,012-2278,"Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture",Department of Agriculture,International Affairs,International development and humanitarian assistance,120152371.01,78090104.06,2539724452.22,0.00,0.00,0.00,0.00,2737966927.29,2328101638.25,77814556.28,409865289.04,2018614162.97,2737966927.29,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2300,"Office of the General Counsel, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1395697.53,30472.35,45190000.00,0.00,0.00,5839585.49,5839585.49,52455755.37,51032667.90,545731.85,1423087.47,51351889.19,52455755.37,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2400,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,862769.59,-291766.12,0.00,0.00,0.00,-1397.61,-1397.61,569605.86,802.05,104608.04,568803.81,2139.76,569605.86,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2500,"Marketing Services, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,149908375.52,6256299.81,1263742500.00,0.00,0.00,141859141.46,141859141.46,1561766316.79,415488360.31,9105104.36,1146277956.48,389435525.26,1561766316.79,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2501,"Payments to States and Possessions, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,16549373.34,-298431.86,186390000.00,0.00,0.00,0.00,0.00,202640941.48,88905933.18,2829916.85,113735008.30,68759107.23,202640941.48,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2701,"USDA Disaster Assistance, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,4488677.33,-18341.21,2000000.00,0.00,0.00,0.00,0.00,6470336.12,2001785.84,11111.69,4468550.28,1974206.26,6470336.12,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2707,"Administrative and Operating Expenses, Office of Risk Management, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,3735793.95,1294454.59,66131000.00,0.00,0.00,8232.13,8232.13,71169480.67,65862381.41,2135966.51,5307099.26,65084330.60,71169480.67,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2900,"Salaries and Expenses, Foreign Agricultural Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,168442234.58,3354482.99,220835000.00,0.00,0.00,69765705.36,69765705.36,462397422.93,293524646.34,14928083.63,168872776.59,274473116.80,462397422.93,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-2903,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",Department of Agriculture,International Affairs,International development and humanitarian assistance,259875351.84,19386265.77,230000000.00,0.00,0.00,0.00,0.00,509261617.61,479241450.50,19386265.77,30020167.11,214167999.22,509261617.61,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3105,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,357781160.70,122052150.00,0.00,0.00,0.00,65793756.31,65793756.31,545627067.01,303832746.00,122052150.00,241794321.01,25683992.00,545627067.01,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3106,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,291456185.00,0.00,5301991.00,0.00,0.00,0.00,0.00,296758176.00,39774798.64,0.00,256983377.36,39774798.64,296758176.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3108,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,686292.51,998916.75,213158.93,0.00,0.00,4502825.00,4502825.00,6401193.19,2265618.19,998916.75,4135575.00,6036685.33,6401193.19,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3301,"Farm Storage Facility Loans Program Accounts, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,7292983.00,0.00,0.00,0.00,0.00,7292983.00,7292983.00,0.00,0.00,7292983.00,7292983.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3303,"Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,100406.43,0.00,0.00,0.00,0.00,100406.43,100406.43,0.00,0.00,100406.43,100406.43,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3304,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,0.00,0.00,6500000.00,0.00,0.00,0.00,0.00,6500000.00,6500000.00,0.00,0.00,6500000.00,6500000.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3314,"Dairy Indemnity Program, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,2460094.67,0.00,0.00,0.00,0.00,2460094.67,2460094.67,0.00,0.00,2460094.67,2460094.67,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3316,"Emergency Conservation Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,775692763.04,70081646.28,0.00,0.00,0.00,0.00,0.00,845774409.32,123712048.17,70081646.28,722062361.15,94421132.15,845774409.32,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3319,"Conservation Reserve Program, Farm Service Agency, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1736.45,0.00,0.00,0.00,0.00,0.00,0.00,1736.45,0.00,0.00,1736.45,0.00,1736.45,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3320,"Water Bank Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,133175.87,215012.03,4000000.00,0.00,0.00,0.00,0.00,4348187.90,3698996.45,215012.03,649191.45,3710921.81,4348187.90,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3322,"Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,48493.67,0.00,0.00,0.00,0.00,0.00,0.00,48493.67,0.00,0.00,48493.67,0.00,48493.67,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3505,"Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,36048939196.23,3096125489.01,177067300174.00,0.00,0.00,69013592.90,69013592.90,216281378452.14,151051692601.00,7658921521.96,65229685851.14,134615161431.82,216281378452.14,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3507,"Commodity Assistance Program, Food and Nutrition Service, Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,268753102.55,60536060.96,901245514.00,0.00,0.00,0.00,0.00,1230534677.51,1169259001.71,62968344.33,61275675.80,1069581867.96,1230534677.51,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3508,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,23659542.95,6307493.16,156005000.00,0.00,0.00,949214.92,949214.92,186921251.03,151277533.17,8306913.07,35643717.86,152089501.05,186921251.03,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3510,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",Department of Agriculture,Income Security,Food and nutrition assistance,1238847314.74,933924798.06,5630943000.00,0.00,0.00,0.00,0.00,7803715112.80,6504426840.09,938361640.03,1299288272.71,5049536434.70,7803715112.80,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3539,"Child Nutrition Programs, Food and Nutrition Service",Department of Agriculture,Income Security,Food and nutrition assistance,8454968465.45,5430698122.25,28136170080.00,0.00,0.00,0.00,0.00,42021836667.70,29328511780.79,5579627850.05,12693324886.91,25804849772.30,42021836667.70,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3674,"Reimbursement for Net Realized Losses, Commodity Credit Corporation",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3700,"Food Safety and Inspection Service, Agriculture",Department of Agriculture,Health,Consumer and occupational health and safety,110871057.78,16661189.39,1191249000.00,0.00,0.00,245713200.84,245713200.84,1564494448.01,1348822916.72,21626100.93,215671531.29,1330748826.96,1564494448.01,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3701,"Office of the Under Secretary for Food Safety, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,596633.00,-257420.00,709000.00,0.00,0.00,0.00,0.00,1048213.00,635979.96,43773.02,412233.04,520775.49,1048213.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-3800,"Office of Civil Rights, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,2620916.06,1425672.80,22789000.00,0.00,0.00,4067752.65,4067752.65,30903341.51,29558264.62,2028750.20,1345076.89,25220712.06,30903341.51,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4050,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,18030132.95,985615.70,0.00,0.00,0.00,41933363.27,41933363.27,60949111.92,45578353.83,985615.70,15370758.09,44775154.22,60949111.92,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4085,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,594427720.96,1274334.16,7705095000.21,0.00,0.00,4286372140.48,4286372140.48,12587169195.81,11996669195.81,1274334.16,590500000.00,10965838083.87,12587169195.81,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4140,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,3552380.85,-3026245.03,32857344.00,0.00,0.00,4140739.79,4140739.79,37524219.61,33786784.75,526135.82,3737434.86,33519167.74,37524219.61,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4141,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",Department of Agriculture,Commerce and Housing Credit,Mortgage credit,91494860.70,-67596334.61,0.00,0.00,0.00,71732433.68,71732433.68,95630959.77,29684531.96,23898526.09,65946427.81,14425317.51,95630959.77,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4144,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1065703.96,0.00,0.00,0.00,0.00,0.00,0.00,1065703.96,0.00,0.00,1065703.96,0.00,1065703.96,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4155,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,14687324.70,-14687324.70,0.00,0.00,0.00,9851734.40,9851734.40,9851734.40,0.00,0.00,9851734.40,0.00,9851734.40,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4230,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",Department of Agriculture,Energy,Energy supply,1853229590.90,-185507201.78,114757598.04,0.00,0.00,30646182.89,30646182.89,1813126170.05,651614198.30,0.00,1161511971.75,655995797.49,1813126170.05,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4233,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,833982.38,-833982.38,0.00,0.00,0.00,74139.83,74139.83,74139.83,0.00,0.00,74139.83,0.00,74139.83,2021-11-15
Department of Agriculture,Agency for International Development;Department of Agriculture,FY2021P12,012-4336,"Commodity Credit Corporation Fund, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,353955629.69,228503454.48,0.00,13206571303.35,0.00,0.00,13206571303.35,13789030387.52,13434812024.75,5711503528.08,354218362.77,17692228990.63,13789030387.52,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4338,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4368,"Damage Assessment and Restoration Revolving Fund, Agriculture",Department of Agriculture,Natural Resources and Environment,Other natural resources,5714763.18,13728452.49,0.00,0.00,0.00,0.00,0.00,19443215.67,12092346.79,1228452.49,7350868.88,2342924.38,19443215.67,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4605,"Working Capital Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,230159718.17,7378719.52,0.00,0.00,0.00,281806717.53,281806717.53,519345155.22,272304588.58,7378719.52,247040566.64,257649766.57,519345155.22,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-4609,"Working Capital Fund, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,341569611.12,720000.00,14423039.04,0.00,0.00,1288619799.20,1288619799.20,1645332449.36,1256855946.84,0.00,388476502.52,1174394065.92,1645332449.36,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5004,"Land Acquisition, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,113323418.29,3109373.09,118266000.00,0.00,0.00,0.00,0.00,234698791.38,62779150.64,3109373.09,171919640.74,66665794.44,234698791.38,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5070,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,17732294.51,238174.27,11321229.72,0.00,0.00,0.00,0.00,29291698.50,11137520.83,238174.27,18154177.67,10914587.56,29291698.50,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5161,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,70313605.41,3026027.48,337810406.44,0.00,0.00,0.00,0.00,411150039.33,234240160.18,3026027.48,176909879.15,239874094.26,411150039.33,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5201,"Payments to States, National Forests Fund,  Forest Service, Agriculture",Department of Agriculture,General Government,General purpose fiscal assistance,63314166.96,652319.84,86054775.63,0.00,0.00,0.00,0.00,150021262.43,77041040.63,652319.84,72980221.80,74211115.38,150021262.43,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5202,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,32858187.91,4800.00,2004000.00,0.00,0.00,0.00,0.00,34866987.91,248268.56,4800.00,34618719.35,574521.46,34866987.91,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5203,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1164.14,6.96,0.00,0.00,0.00,0.00,0.00,1171.10,0.00,6.96,1171.10,14547.47,1171.10,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5204,"Timber Salvage Sales, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,66112854.46,1365507.62,34814782.56,0.00,0.00,0.00,0.00,102293144.64,25328611.78,1365507.62,76964532.86,27746195.95,102293144.64,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5205,"Native American Institutions Endowment Fund, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1876954.04,1828907.39,5034121.19,0.00,0.00,0.00,0.00,8739982.62,6262926.77,1828907.39,2477055.85,6140315.44,8739982.62,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5206,"Expenses, Brush Disposal, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,25343735.34,366965.38,7011607.49,0.00,0.00,0.00,0.00,32722308.21,6994032.41,366965.38,25728275.80,7507362.45,32722308.21,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5207,"Range Betterment Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,2252609.51,34978.40,2741210.00,0.00,0.00,0.00,0.00,5028797.91,2494468.75,34978.40,2534329.16,2689364.55,5028797.91,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5208,"Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1005581.27,-633000.00,664000.00,0.00,0.00,0.00,0.00,1036581.27,594000.00,0.00,442581.27,2319400.00,1036581.27,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5209,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",Department of Agriculture,Income Security,Food and nutrition assistance,428202248.23,73364736.24,1133900833.54,0.00,0.00,7034019.33,7034019.33,1642501837.34,1265685056.71,73364736.24,376816780.63,1489539949.60,1642501837.34,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5213,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",Department of Agriculture,General Government,General purpose fiscal assistance,6531300.00,-381300.00,5799450.00,0.00,0.00,0.00,0.00,11949450.00,5799450.00,0.00,6150000.00,5799450.00,11949450.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5214,"Licensee Programs, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,2501763.02,10186.25,899534.89,0.00,0.00,0.00,0.00,3411484.16,800943.46,10186.25,2610540.70,659425.42,3411484.16,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5215,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,204676645.90,4173939.74,1587631.93,0.00,0.00,0.00,0.00,210438217.57,11938951.85,3998939.74,198499265.72,24650988.18,210438217.57,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5216,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,30306818.31,64804.75,4357395.63,0.00,0.00,0.00,0.00,34729018.69,3277756.16,64804.75,31451262.53,2909627.29,34729018.69,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5219,"Operation and Maintenance of Quarters, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,27436251.16,30920.71,10266246.38,0.00,0.00,0.00,0.00,37733418.25,8291291.80,30920.71,29442126.45,8299818.62,37733418.25,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5223,"Quinault Special Management Area, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,18089.68,0.00,206.46,0.00,0.00,0.00,0.00,18296.14,0.00,0.00,18296.14,0.00,18296.14,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5264,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,7320434.41,645505.07,5743337.17,0.00,0.00,0.00,0.00,13709276.65,4983363.85,226611.96,8725912.80,5616325.67,13709276.65,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5268,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Recreational resources,111667105.65,1328292.84,116973827.51,0.00,0.00,0.00,0.00,229969226.00,99166335.26,1328292.84,130802890.74,97889495.35,229969226.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5277,"MNP Rental Fee Account, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,3716632.29,11719.09,668813.37,0.00,0.00,0.00,0.00,4397164.75,715931.18,11719.09,3681233.57,481967.79,4397164.75,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5279,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,798693.68,0.00,51886.94,0.00,0.00,0.00,0.00,850580.62,9357.00,0.00,841223.62,9357.00,850580.62,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5360,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,4983276.05,43282.72,6468102.30,0.00,0.00,0.00,0.00,11494661.07,6492353.30,43282.72,5002307.77,5780038.10,11494661.07,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5361,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,21708972.69,819752.38,1538102.56,0.00,0.00,5641143.85,5641143.85,29707971.48,4537979.39,819752.38,25169992.09,4869991.93,29707971.48,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5367,"State and Private Forestry, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,37984122.82,15989158.10,88446000.00,0.00,0.00,0.00,0.00,142419280.92,90367632.11,15989158.10,52051648.81,60223458.12,142419280.92,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5410,"Inspector General Assets Forfeiture, Justice",Department of Agriculture,Agriculture,Agricultural research and services,11459676.93,149485.00,0.00,0.00,0.00,1114000.00,1114000.00,12723161.93,3610380.50,149485.00,9112781.43,4218522.59,12723161.93,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5411,"Inspector General Assets Forfeiture, Treasury",Department of Agriculture,Agriculture,Agricultural research and services,4536243.04,7366.87,0.00,0.00,0.00,223055.00,223055.00,4766664.91,657042.10,7366.87,4109622.81,538000.51,4766664.91,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5462,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,81017.42,0.00,0.00,0.00,0.00,0.00,0.00,81017.42,14737.89,0.00,66279.53,37635.89,81017.42,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5531,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,14535527.78,-14534730.78,49184.00,0.00,0.00,0.00,0.00,49981.00,24649.00,148217.48,25332.00,24184.00,49981.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5540,"Stewardship Contracting Product Sales, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,46109594.32,615454.46,27607387.57,0.00,0.00,0.00,0.00,74332436.35,21086535.79,615454.46,53245900.56,18555450.40,74332436.35,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5635,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,3381.64,58617.44,15088000.00,0.00,0.00,0.00,0.00,15149999.08,15050305.00,58617.44,99694.08,14923000.00,15149999.08,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5636,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,18355113.70,0.00,28290000.00,0.00,0.00,0.00,0.00,46645113.70,20004318.41,0.00,26640795.29,20004318.41,46645113.70,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5716,"National Parks and Public Land Legacy Restoration Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,0.00,0.00,285000000.00,0.00,0.00,0.00,0.00,285000000.00,115266423.92,0.00,169733576.08,17995579.11,285000000.00,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-5896,"Payments to Counties, National Grasslands, Forest Service,  Agriculture",Department of Agriculture,General Government,General purpose fiscal assistance,11069.38,0.00,21175459.13,0.00,0.00,0.00,0.00,21186528.51,21179568.65,0.00,6959.86,21179568.65,21186528.51,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-8015,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,75338410.75,3185265.28,196713328.24,0.00,0.00,22266.00,22266.00,275259270.27,176852034.93,3185265.28,98407235.34,173560533.59,275259270.27,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-8028,"Cooperative Work, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,295605403.16,3285487.71,85779066.15,0.00,0.00,24934104.05,24934104.05,409604061.07,95421851.47,3285487.71,314182209.60,97260848.37,409604061.07,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-8034,"Donations for Forest and Rangeland Research, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,116035.96,0.00,0.00,0.00,0.00,0.00,0.00,116035.96,2950.00,0.00,113085.96,2950.00,116035.96,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-8039,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,6006904.02,14788.00,127891.34,0.00,0.00,0.00,0.00,6149583.36,116695.53,14788.00,6032887.83,84173.00,6149583.36,2021-11-15
Department of Agriculture,Department of Agriculture,FY2021P12,012-8046,"Reforestation Trust Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,7762540.05,800345.94,30000000.00,0.00,0.00,0.00,0.00,38562885.99,28102093.10,800345.94,10460792.89,22376794.14,38562885.99,2021-11-15
