owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of the Interior,Department of the Interior,FY2022P12,014-0120,"Federal Trust Programs, Bureau of Trust Funds Administration, Interior",Department of the Interior,General Government,Other general government,26190457.72,7898751.91,109572000.00,0.00,0.00,3181956.13,3181956.13,146843165.76,118893932.98,7898751.91,27949232.78,112416323.93,146843165.76,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0130,"Wildfire Suppression Operations Reserve Fund, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,282000000.00,-282000000.00,330000000.00,0.00,0.00,0.00,0.00,330000000.00,0.00,0.00,330000000.00,0.00,330000000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0200,"Payments for Tribal Leases, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,24066202.20,0.00,0.00,0.00,0.00,24066202.20,24066202.20,0.00,0.00,21317919.16,24066202.20,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0412,"Assistance to Territories, Insular Affairs, Interior",Department of the Interior,General Government,Other general government,5000143.78,5497264.96,129377000.00,0.00,0.00,0.00,0.00,139874408.74,115887995.08,5775385.85,23986413.66,93169731.30,139874408.74,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0415,"Compact of Free Association, Insular Affairs, Interior",Department of the Interior,General Government,Other general government,320925557.91,3052684.97,235757800.00,0.00,0.00,21034667.52,21034667.52,580770710.40,253700102.41,3052684.97,327070607.99,224668388.29,580770710.40,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0418,"Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior",Department of the Interior,General Government,General purpose fiscal assistance,0.00,0.00,296563508.00,0.00,0.00,0.00,0.00,296563508.00,296563508.00,0.00,0.00,296563508.00,296563508.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0667,"Loan Program, Liquidating Account, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0680,"Water and Related Resources, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,1632364028.77,69126348.09,7994703470.37,0.00,0.00,474972026.28,474972026.28,10171165873.51,2605448303.21,68661243.46,7565717570.30,1713079020.24,10171165873.51,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0681,"Water and Related Resources - Recovery Act, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,462484.60,0.00,0.00,0.00,0.00,0.00,0.00,462484.60,0.00,0.00,462484.60,0.00,462484.60,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0685,"Bureau of Reclamation Loans Program Account, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,4192.98,0.00,112642.00,0.00,0.00,0.00,0.00,116834.98,112888.34,0.00,3946.64,112888.34,116834.98,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0687,"California Bay-Delta Restoration, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,2566512.84,1330042.41,33000000.00,0.00,0.00,0.00,0.00,36896555.25,36755864.22,1330042.41,140691.03,25798934.06,36896555.25,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0787,"Central Utah Project Completion Account, Central Utah Project, Interior",Department of the Interior,Natural Resources and Environment,Water resources,975354.01,18025.91,58000000.00,0.00,0.00,0.00,0.00,58993379.92,58061712.39,75689.69,931667.53,58422943.18,58993379.92,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0804,"Surveys, Investigations and Research, U.S. Geological Survey",Department of the Interior,Natural Resources and Environment,Other natural resources,913531963.87,12855374.93,1682613660.00,0.00,0.00,595477154.81,595477154.81,3204478153.61,2089650146.09,16315996.12,1114828007.52,1892806167.55,3204478153.61,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-0959,"Mines and Minerals, Bureau of Mines, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,0.00,77.29,0.00,0.00,0.00,0.00,0.00,77.29,0.00,77.29,77.29,139372.53,77.29,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1031,"Operation of the National Park System, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,1.73,0.00,0.00,0.00,0.00,0.00,0.00,1.73,0.00,0.00,1.73,0.00,1.73,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1034,"Contribution for Annuity Benefits, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,21394473.08,-5431858.11,42101000.00,0.00,0.00,0.00,0.00,58063614.97,39664773.20,0.00,18398841.77,39672433.79,58063614.97,2022-11-15
Department of the Interior,Department of the Interior;Department of Transportation,FY2022P12,014-1036,"Operation of the National Park System, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,207551971.06,8640559.67,3464892986.82,0.00,0.00,39339956.20,39339956.20,3720425473.75,2811812618.32,35772760.40,908612855.43,2700263292.24,3720425473.75,2022-11-15
Department of the Interior,Corps of Engineers - Civil Works;Department of the Interior;Department of Transportation,FY2022P12,014-1039,"Construction, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,706492038.91,18112007.39,455456000.00,0.00,0.00,104829496.47,104829496.47,1284889542.77,402092940.30,18112007.39,882796602.47,461327896.95,1284889542.77,2023-02-01
Department of the Interior,Department of the Interior,FY2022P12,014-1042,"National Recreation and Preservation, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,14297859.82,-799032.05,83910000.00,0.00,0.00,3536462.30,3536462.30,100945290.07,85874169.43,404496.55,15071120.64,78958910.77,100945290.07,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1046,"Historic Preservation Fund, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,57768.24,13228.35,0.00,0.00,0.00,0.00,0.00,70996.59,0.00,13228.35,70996.59,7067725.09,70996.59,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1109,"Management of Lands and Resources, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,175118498.67,66029913.67,1283132000.00,0.00,0.00,72222526.31,72222526.31,1596502938.65,1413353844.06,66029913.67,183149094.59,1349619151.60,1596502938.65,2022-11-15
Department of the Interior,Department of the Interior;Department of Transportation,FY2022P12,014-1110,"Construction, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,10346.32,0.01,0.00,0.00,0.00,0.00,0.00,10346.33,0.01,0.01,10346.32,0.00,10346.33,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1113,"Office of Natural Resources Revenue, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,9072439.51,3144897.16,169640000.00,0.00,0.00,1587933.47,1587933.47,183445270.14,149506803.69,3144897.16,33938466.45,147941801.50,183445270.14,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1114,"Payments in Lieu of Taxes, Departmental Management",Department of the Interior,General Government,General purpose fiscal assistance,30405.14,11511.76,549816590.00,0.00,0.00,0.00,0.00,549858506.90,549804807.54,12882.86,53699.36,549765375.37,549858506.90,2022-11-15
Department of the Interior,Department of the Interior;Department of Transportation,FY2022P12,014-1116,"Oregon and California Grant Lands, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,3074836.58,5488748.26,117283000.00,0.00,0.00,0.00,0.00,125846584.84,123268595.46,5488748.26,2577989.38,109229018.89,125846584.84,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1118,"Cook Inlet Region, Incorporated Property Account, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,2376394.44,0.00,0.00,0.00,0.00,0.00,0.00,2376394.44,0.00,0.00,2376394.44,0.00,2376394.44,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1121,"Central Hazardous Materials Fund, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Pollution control and abatement,20717258.60,3079138.66,10036000.00,0.00,0.00,7134086.22,7134086.22,40966483.48,11488302.11,3079138.66,29478181.37,18645049.66,40966483.48,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1125,"Wildland Fire Management, Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management;Pollution control and abatement,131984799.19,318720120.06,1532059207.00,0.00,0.00,78806207.86,78806207.86,2061570334.11,1513289268.57,36720120.06,548281065.54,1370781706.19,2061570334.11,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1611,"Resource Management, United States Fish and Wildlife Service, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,566356270.43,17639371.57,1801688775.00,0.00,0.00,318000687.28,318000687.28,2703685104.28,1882422295.89,23431006.68,821262808.39,1701871158.14,2703685104.28,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1612,"Construction, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,74215099.87,7963514.39,69834000.00,0.00,0.00,8202.39,8202.39,152020816.65,45642844.11,7963514.39,106377972.54,76126365.25,152020816.65,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1618,"Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,12622300.32,125573.70,7933000.00,0.00,0.00,0.00,0.00,20680874.02,9071409.71,125573.70,11609464.31,7546542.77,20680874.02,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1652,"Multinational Species Conservation Fund, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,31067581.97,265811.55,20000000.00,0.00,0.00,578480.43,578480.43,51911873.95,32355685.84,265811.55,19556188.11,14023441.52,51911873.95,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1691,"National Wildlife Refuge Fund, United States Fish and Wildlife Service",Department of the Interior,General Government,General purpose fiscal assistance,0.00,0.00,13228000.00,0.00,0.00,0.00,0.00,13228000.00,13228000.00,0.00,0.00,13228000.00,13228000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1696,"Neotropical Migratory Bird Conservation, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,165017.59,186565.39,5000000.00,0.00,0.00,0.00,0.00,5351582.98,5016679.42,186565.39,334903.56,4425047.13,5351582.98,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1700,"Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,93117930.21,10068848.49,144989808.43,0.00,0.00,107981034.78,107981034.78,356157621.91,268702562.27,10305682.22,87455059.64,258272461.13,356157621.91,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1801,"Regulation and Technology, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,36816713.76,5151149.78,118157000.00,0.00,0.00,-60493.72,-60493.72,160064369.82,118208060.61,7248584.38,41856309.21,112781204.72,160064369.82,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1803,"Payments in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,General Government,General purpose fiscal assistance,4724740.43,35528983.16,35302654.00,0.00,0.00,0.00,0.00,75556377.59,59470365.06,35528983.16,16086012.53,96178097.33,75556377.59,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1804,"Supplemental Payments to UMWA Health Plans, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Health,Health care services,0.00,0.00,721082463.00,0.00,0.00,0.00,0.00,721082463.00,721082463.00,0.00,0.00,721082463.00,721082463.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1917,"Ocean Energy Management, Bureau of Ocean Energy Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,40244868.34,4628814.21,164451235.71,0.00,0.00,45803695.43,45803695.43,255128613.69,209413903.24,4866392.10,45714710.45,194895026.71,255128613.69,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-1920,"Oil Spill Research, Bureau of Safety and Environmental Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57789.27,0.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2100,"Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,591093761.90,31989736.67,2300553086.00,0.00,0.00,31502834.08,31502834.08,2955139418.65,1889554761.45,28792416.63,1065584657.20,1926139935.49,2955139418.65,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2103,"Indian Land Consolidation, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,7000000.00,0.00,0.00,0.00,0.00,7000000.00,0.00,0.00,7000000.00,0.00,7000000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2105,"Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,427824124.10,424486.31,264330000.00,0.00,0.00,0.00,0.00,692578610.41,137621252.29,424486.31,554957358.12,56341755.77,692578610.41,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2106,"Operation of Indian Education Programs, Bureau of Indian Education, Interior",Department of the Interior,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",952503710.12,14415688.46,967321374.00,0.00,0.00,294998156.77,294998156.77,2229238929.35,1442077013.11,15595314.46,787161916.24,1340346882.68,2229238929.35,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2204,"White Earth Economic Development and Tribal Government Fund, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,1044278.80,73.36,214526.95,0.00,0.00,0.00,0.00,1258879.11,204547.77,73.36,1054331.34,204474.41,1258879.11,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2240,"Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,27185715.73,237984763.20,0.00,0.00,0.00,0.00,265170478.93,265170478.93,875901.63,0.00,290856646.17,265170478.93,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2301,"Construction, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,394467040.87,25182782.07,196971000.00,0.00,0.00,6505.95,6505.95,616627328.89,166515048.65,25182782.07,450112280.24,100779764.46,616627328.89,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2303,"Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,47492372.88,1253602.00,102463000.00,0.00,0.00,0.00,0.00,151208974.88,114444408.97,1253602.00,36764565.91,104529998.97,151208974.88,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2623,"Claims and Treaty Obligations, Bureau of Indian Affairs (Indefinite)",Department of the Interior,Community and Regional Development,Area and regional development,2700.00,0.00,40500.00,0.00,0.00,0.00,0.00,43200.00,40500.00,0.00,2700.00,40500.00,43200.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2627,"Indian Direct Loan Program Account, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,919123.00,0.00,0.00,0.00,0.00,919123.00,919123.00,0.00,0.00,919123.00,919123.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2628,"Indian Guaranteed Loan Program Account, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,7266795.33,3140629.54,13472007.00,0.00,0.00,0.00,0.00,23879431.87,13476467.81,5158323.58,10402964.06,13237712.66,23879431.87,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2631,"WMAT Settlement Fund, Bureau of Indian Affairs, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,109106000.00,0.00,0.00,0.00,0.00,109106000.00,109106000.00,0.00,0.00,109106000.00,109106000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2638,"Taos Settlement Fund, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,784540.00,0.00,0.00,0.00,0.00,0.00,0.00,784540.00,0.00,0.00,784540.00,18932.57,784540.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2640,"Abandoned Well Remediation Fund, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,2006469.63,0.00,0.00,0.00,0.00,0.00,0.00,2006469.63,2005748.30,0.00,721.33,2255621.63,2006469.63,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2641,"Energy Community Revitalization Program,  Department-Wide Programs, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,4652932000.00,0.00,0.00,0.00,0.00,4652932000.00,576237171.60,0.00,4076694828.40,1141664.14,4652932000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2645,"Centennial Challenge, National Park Service, Interior",Department of the Interior,Natural Resources and Environment,Recreational resources,66758979.21,46072.64,15000000.00,0.00,0.00,7605582.15,7605582.15,89410634.00,10235146.30,46072.64,79175487.70,8801804.20,89410634.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-2699,"Indian Water Rights Settlement Completion Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,701362000.00,0.00,0.00,0.00,0.00,701362000.00,0.00,0.00,701362000.00,0.00,701362000.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4053,"Helium Fund, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Other natural resources,139643720.54,-99896756.85,0.00,0.00,0.00,61550553.48,61550553.48,101297517.17,27689111.83,103243.15,73608405.34,19934017.79,101297517.17,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4079,"Lower Colorado River Basin Development Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,302231858.68,3550376.45,138878000.00,0.00,0.00,97847809.74,97847809.74,542508044.87,209705671.19,3550376.45,332802373.68,135516905.29,542508044.87,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4081,"Upper Colorado River Basin Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,201998905.18,5972186.55,70717000.00,0.00,0.00,81842073.69,81842073.69,360530165.42,165180936.64,5972186.55,195349228.78,168905240.03,360530165.42,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4409,"Revolving Fund for Loans, Liquidating Account, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4523,"Working Capital Fund, Departmental Management",Department of the Interior,Natural Resources and Environment,Other natural resources,266033064.07,48277846.61,91436000.00,0.00,0.00,1035354730.49,1035354730.49,1441101641.17,1144210769.66,48277846.61,296890871.51,1074743966.95,1441101641.17,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4524,"Working Capital Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,149812509.84,4959024.61,0.00,0.00,0.00,537916135.26,537916135.26,692687669.71,557168511.73,4959024.61,135519157.98,537963099.40,692687669.71,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4525,"Working Capital Fund, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,194741119.08,510927.84,0.00,0.00,0.00,277462515.06,277462515.06,472714561.98,260294952.55,510927.84,212419609.43,265126565.44,472714561.98,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4529,"Interior Franchise Fund, Departmental Management",Department of the Interior,Natural Resources and Environment,Other natural resources,56324187.86,74682037.50,0.00,0.00,0.00,1859119187.29,1859119187.29,1990125412.65,1767103220.57,74682037.50,223022192.08,1132849248.88,1990125412.65,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-4556,"Working Capital Fund, Geological Survey",Department of the Interior,Natural Resources and Environment,Other natural resources,171198297.81,5878078.20,0.00,0.00,0.00,126600603.43,126600603.43,303676979.44,114099472.43,5878078.20,189577507.01,100754417.68,303676979.44,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5003,"Payments to States from Receipts Under Mineral Leasing, Public and Acquired Military Lands, Office of Natural Resources Revenue, Interior",Department of the Interior,General Government,General purpose fiscal assistance,2045809.64,0.00,3974867942.88,0.00,0.00,0.00,0.00,3976913752.52,3974420974.87,0.00,2492777.65,3974420974.87,3976913752.52,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5015,"Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,201465953.23,26912453.80,11514994795.56,0.00,0.00,163398.44,163398.44,11743536601.03,268659667.19,26912453.80,11474876933.84,232138830.81,11743536601.03,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5016,"Payments to States from Grazing Receipts, Etc., Public Lands Outside Grazing Districts, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,1.42,0.00,829714.68,0.00,0.00,0.00,0.00,829716.10,829714.70,0.00,1.40,829714.70,829716.10,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5017,"Service Charges, Deposits and Forfeitures, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,63199186.36,384707.67,44422506.75,0.00,0.00,0.00,0.00,108006400.78,26792021.57,384707.67,81214379.21,25337822.51,108006400.78,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5018,"Expenses, Road Maintenance Deposits, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,6262658.23,21978.01,4793403.04,0.00,0.00,0.00,0.00,11078039.28,4214386.87,21978.01,6863652.41,3717314.45,11078039.28,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5020,"Land Acquisition, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,119538430.96,174056.61,108704995.00,0.00,0.00,214283.26,214283.26,228631765.83,102929776.55,174056.61,125701989.28,88741549.58,228631765.83,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5029,"Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Recreational resources,343910577.94,69578327.95,1161318099.82,0.00,0.00,0.00,0.00,1574807005.71,1010776086.40,69578327.95,564030919.31,826891613.82,1574807005.71,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5032,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,1.07,0.00,1228707.26,0.00,0.00,0.00,0.00,1228708.33,1228707.17,0.00,1.16,1228707.17,1228708.33,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5033,"Land Acquisition, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,140056704.52,1667956.82,63576500.00,0.00,0.00,0.00,0.00,205301161.34,55586123.99,1667956.82,149715037.35,45191922.69,205301161.34,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5035,"Land Acquisition and State Assistance, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,867300650.63,6141660.05,421800000.00,0.00,0.00,0.00,0.00,1295242310.68,200644682.75,6141660.05,1094597627.93,125360299.96,1295242310.68,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5044,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Miscellaneous, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.20,0.00,26239.90,0.00,0.00,0.00,0.00,26240.10,26239.90,0.00,0.20,26239.90,26240.10,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5045,"Payments to Alaska from Oil and Gas Leases, National Petroleum Reserve, Office of Natural Resources Revenue, Interior",Department of the Interior,General Government,General purpose fiscal assistance,0.00,0.00,29197347.26,0.00,0.00,0.00,0.00,29197347.26,29197347.26,0.00,0.00,29197347.26,29197347.26,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5048,"Operation and Maintenance of Quarters, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,1854727.23,33912.32,995977.96,0.00,0.00,0.00,0.00,2884617.51,745419.65,33912.32,2139197.86,739123.03,2884617.51,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5049,"Operation and Maintenance of Quarters, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,12468746.27,226148.78,24038800.64,0.00,0.00,0.00,0.00,36733695.69,23774739.08,226148.78,12958956.61,23691087.55,36733695.69,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5050,"Operation and Maintenance of Quarters, United States Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,7956497.62,45426.73,3816166.54,0.00,0.00,0.00,0.00,11818090.89,3515586.52,45426.73,8302504.37,3653022.18,11818090.89,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5051,"Operation and Maintenance of Quarters, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,7047827.55,170722.68,6171634.38,0.00,0.00,0.00,0.00,13390184.61,5638280.67,170722.68,7751903.94,5842891.42,13390184.61,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5053,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,1076843.60,0.00,300130.12,0.00,0.00,0.00,0.00,1376973.72,157664.72,0.00,1219309.00,157664.72,1376973.72,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5055,"Operation and Maintenance of Quarters, Geological Survey",Department of the Interior,Natural Resources and Environment,Other natural resources,206543.54,0.00,52037.84,0.00,0.00,0.00,0.00,258581.38,54834.98,0.00,203746.40,103042.22,258581.38,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5058,"Operation, Maintenance, and Replacement of Project Works, North Platte Project (Gering and Fort Laramie, Goshen, and Pathfinder Irrigation Districts), Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,39881.06,0.00,6013.03,0.00,0.00,0.00,0.00,45894.09,0.00,0.00,45894.09,0.00,45894.09,2022-11-15
Department of the Interior,Department of the Interior,FY2022P12,014-5063,"Regulation and Technology, Civil Penalties, Office of Surface Mining Reclamation and Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,115028.27,0.00,758850.24,0.00,0.00,0.00,0.00,873878.51,0.00,0.00,873878.51,30500.00,873878.51,2022-11-15
