"Company","Parent","Penalty","Year","Date","Agency","Market_cap","Ticker","price","price_at_time","Market_cap_at_time","Penalty_scaled"
"Beckman Coulter, Inc.","danaher",1114492,2009,2009-11-27,"Labor Department Wage and Hour Division",151145522950.82,"DHR",228.610000610352,24.1895599365234,15992929779.0767,6.96865437037104e-05
"Lincare, Inc.","linde",5250000,2018,2018-08-16,"U.S. Attorney-Southern District of Illinois",1.95585e+11,"LIN",401.279998779297,154.630004882812,75367099274.8349,6.96590428783157e-05
"Citigroup Global Markets, Inc.","citigroup",3500000,2012,2012-05-22,"Financial Industry Regulatory Authority",102457683196.721,"C",53.2599983215332,26.25,50497827049.8095,6.93099130096768e-05
"Northrop Grumman Corporation","northrop grumman",611136,2011,2011-02-18,"Labor Department Wage and Hour Division",66095644672.1311,"NOC",463.920013427734,62.251148223877,8869049953.32448,6.89065912601971e-05
"Morgan Stanley & Co. Inc. and Morgan Stanley Smith Barney LLC","morgan stanley",1371000,2011,2011-11-10,"Financial Industry Regulatory Authority",111243387704.918,"MS",87.5699996948242,15.7600002288818,20020507271.9067,6.84797833231639e-05
"United Airlines","united airlines holdings",1149306,2023,2023-02-06,"Federal Aviation Administration",13457053688.5246,"UAL",40.8400001525879,51.1199989318848,16844382164.8738,6.82308195545867e-05
"Cognizant Technology Solutions","cognizant technology solutions",509607,2008,2008-08-06,"Labor Department Wage and Hour Division",38780748360.6557,"CTSH",76.9499969482422,14.8249998092651,7471404936.33266,6.82076536264062e-05
"Merillat Industries","masco",404867,2006,2006-12-31,"Labor Department Wage and Hour Division",14830834836.0656,"MAS",65.4700012207031,26.247802734375,5945880860.01209,6.80920135354304e-05
"Southwest Airlines Co.","southwest airlines",1600000,2015,2015-01-15,"Transportation Department Aviation Consumer Protection Division",18621681557.377,"LUV",31.1100006103516,39.439998626709,23607813585.3711,6.7774171217256e-05
"Swisher Hygiene Inc.","ecolab",2e+06,2015,2015-10-06,"U.S. Attorney-Western District of North Carolina",50155343852.459,"ECL",196.619995117188,115.73999786377,29523850750.1762,6.77418408907268e-05
"Straight Path Communications Inc.","verizon communications",1.5e+07,2017,2017-01-12,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,52.4599990844727,221680764144.967,6.76648696058753e-05
"Walgreen Co.","walgreens boots alliance",3500000,2019,2019-01-23,"U.S. Attorney-Eastern District of Wisconsin",16178307786.8852,"WBA",22.3700008392334,71.5899963378906,51774919613.9981,6.76002980998106e-05
"Federal Express Corporation","fedex",1570000,2004,2004-12-22,"Equal Employment Opportunity Commission",58064656557.377,"FDX",249.729995727539,100.529998779297,23374203951.0623,6.7168062847704e-05
"Medtronic USA Inc.","medtronic",9210000,2020,2020-10-29,"Justice Department Civil Division",113302004098.361,"MDT",84.7200012207031,102.589996337891,137200802857,6.71278870692853e-05
"Universal American Corp.","centene",325000,2012,2012-10-09,"Centers for Medicare & Medicaid Services",40529832377.0492,"CNC",75.4800033569336,9.03499984741211,4851444264.12694,6.69903604588739e-05
"Progressive Casualty Insurance Co. and Progressive Garden State Insurance Co.","progressive",2e+06,2017,2017-11-14,"U.S. Attorney-District of New Jersey",104884203278.689,"PGR",178.360000610352,51.0999984741211,30049240912.5353,6.65574217272717e-05
"ARCHER DANIELS MIDLAND","archer daniels midland",1370000,2006,2006-09-25,"Environmental Protection Agency",28215540983.6066,"ADM",52.6300010681152,38.4799995422363,20629564546.8056,6.64095452374508e-05
"Scottrade","charles schwab corp.",2500000,2014,2014-01-29,"Securities and Exchange Commission",94974234426.2295,"SCHW",63.4799995422363,25.2000007629395,37702438520.1541,6.63087083522093e-05
"CVS Pharmacy Inc.","cvs health",8e+06,2016,2016-02-12,"U.S. Attorney-District of Maryland",95779100819.6721,"CVS",74.1900024414062,93.870002746582,121185930194.685,6.60142640911201e-05
"ARCHER DANIELS MIDLAND, DECATUR","archer daniels midland",1705564,2015,2015-04-07,"Environmental Protection Agency",28215540983.6066,"ADM",52.6300010681152,48.3300018310547,25910262582.6859,6.58258091579401e-05
"Advanced Neuromodulation Systems, Inc.","abbott laboratories",2950000,2007,2007-07-02,"Health & Human Services Department Office of Inspector General",193232471721.311,"ABT",110.769996643066,25.6932907104492,44820603241.7993,6.58179450215176e-05
"ROCKIES EXPRESS PIPELINE LLC","blackstone",577067,2012,2012-06-15,"Pipeline and Hazardous Materials Safety Administration",86134680327.8689,"BX",120.629997253418,12.289999961853,8775555351.45912,6.57584593667967e-05
"UPS","united parcel service",4e+06,2013,2013-04-24,"Federal Aviation Administration",113828579098.361,"UPS",156.580001831055,83.7399978637695,60876260435.9745,6.57070584059106e-05
"L-3 Communications Systems Field Support","l3harris technologies",427642,2011,2011-12-18,"Labor Department Wage and Hour Division",38899957377.0492,"LHX",204.25,34.2900009155273,6530622149.68417,6.5482581934507e-05
"Northrop Grumman Information Technology Inc.","northrop grumman",429041,2004,2004-05-26,"Labor Department Wage and Hour Division",66095644672.1311,"NOC",463.920013427734,46.2998580932617,6596436627.70979,6.50413282525475e-05
"Tyson Foods, Inc.","tyson foods",1500000,2021,2021-08-13,"Commodity Futures Trading Commission",15327402049.1803,"TSN",53.1800003051758,80.0400009155273,23068921906.9005,6.50225444454476e-05
"Bank of America Corporation","bank of america",7650000,2014,2014-09-29,"Securities and Exchange Commission",228235527459.016,"BAC",32.9799995422363,17.0300006866455,117854798159.296,6.49103822625874e-05
"MGM Resorts International","mgm resorts international",325000,2013,2013-09-05,"Occupational Safety & Health Administration",11772506967.2131,"MGM",42.8600006103516,18.25,5012791626.03998,6.48341332026889e-05
"CESSNA AIRCRAFT COMPANY","textron",3e+05,2010,2010-04-30,"Federal Aviation Administration",16853277459.0164,"TXT",85.5500030517578,23.5200004577637,4633419981.42383,6.47469906036473e-05
"Tyson Foods, Inc.","tyson foods",1400000,2016,2016-10-04,"Office of Federal Contract Compliance Programs",15327402049.1803,"TSN",53.1800003051758,75.0999984741211,21645127188.7949,6.4679684613946e-05
"Walgreen Louisiana Co.","walgreens boots alliance",1053774,2009,2009-03-11,"Health & Human Services Department Office of Inspector General",16178307786.8852,"WBA",22.3700008392334,22.6000003814697,16344646778.6395,6.44721182581415e-05
"Goldman, Sachs & Co.","goldman sachs",1650000,2002,2002-12-03,"Financial Industry Regulatory Authority",124355557377.049,"GS",379.399993896484,78.7799987792969,25821641581.3535,6.38998878054101e-05
"CVS Caremark Corp.","cvs health",2250000,2009,2009-02-18,"Health & Human Services Department Office for Civil Rights",95779100819.6721,"CVS",74.1900024414062,27.2999992370605,35244228241.7835,6.38402402959283e-05
"Delta Air Lines, Inc.","delta air lines",750000,2013,2013-06-26,"Transportation Department Aviation Consumer Protection Division",24722305737.7049,"DAL",38.189998626709,18.1499996185303,11749407065.8258,6.38330084061383e-05
"MOBIL OIL CORPORATION","exxon mobil",11200000,2002,2002-03-18,"Environmental Protection Agency",401020364344.262,"XOM",99.5999984741211,43.6100006103516,175587335358.852,6.37859215592644e-05
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","bank of america",1.3e+07,2017,2017-12-21,"Securities and Exchange Commission",228235527459.016,"BAC",32.9799995422363,29.4799995422363,204014049072.289,6.37211018511459e-05
"Google Inc.","alphabet inc.",1.9e+07,2014,2014-12-05,"Federal Trade Commission",1637262670491.8,"GOOGL",148.699996948242,27.128999710083,298704098350.198,6.36080994701472e-05
"Cintas Corporation","cintas",152500,2010,2010-09-27,"Equal Employment Opportunity Commission",52004727868.8525,"CTAS",597.950012207031,27.7199993133545,2410855408.28897,6.32555562957763e-05
"SAINT PAUL PARK REFINING COMPANY","marathon petroleum",1758400,2019,2019-04-25,"Environmental Protection Agency",72481548360.6557,"MPC",155.100006103516,59.5,27805621906.8147,6.32390099344999e-05
"Potomac Electric Power Company (Pepco)","exelon",1600000,2017,2017-01-13,"Environmental Protection Agency",34182568852.459,"EXC",34.0800018310547,25.2781734466553,25354250524.6384,6.31057896365415e-05
"NORTHWEST AIRLINES INC","delta air lines",276250,2009,2009-08-21,"Federal Aviation Administration",24722305737.7049,"DAL",38.189998626709,6.80000019073486,4401981926.60385,6.27558233100535e-05
"AutoZone Inc.","autozone",415000,2013,2013-02-19,"Equal Employment Opportunity Commission",48705926639.3443,"AZO",2751.6201171875,373.700012207031,6614795867.34591,6.27381416331617e-05
"Comerica Securities","comerica",347757,2015,2015-10-20,"Financial Industry Regulatory Authority",7274216393.44262,"CMA",55.0299987792969,41.9700012207031,5547862578.31616,6.26830594829816e-05
"Wal-Mart Stores, Inc.","walmart",5292257,2012,2012-05-01,"Labor Department Wage and Hour Division",230136705737.705,"WMT",160.5,58.9099998474121,84469490965.06,6.26528814076682e-05
"WellCare Health Plans, Inc.","centene",1174300,2017,2017-02-23,"Centers for Medicare & Medicaid Services",40529832377.0492,"CNC",75.4800033569336,35.1199989318848,18858076397.5374,6.22704020943167e-05
"Northrop Grumman Shipbuilding, Inc","northrop grumman",447171,2009,2009-12-06,"Labor Department Wage and Hour Division",66095644672.1311,"NOC",463.920013427734,50.4966163635254,7194357466.16782,6.21557939125024e-05
"Citigroup","citigroup",8600000,2018,2018-08-10,"Federal Reserve",102457683196.721,"C",53.2599983215332,71.9800033569336,138469857545.262,6.21073795586803e-05
"HP Inc.","hp inc.",1023000,2020,2020-09-30,"Office of Federal Contract Compliance Programs",25793542622.9508,"HPQ",29.5599994659424,18.9200000762939,16509263775.7449,6.19652101932598e-05
"Union Carbide Corp/Dow Chemical-4 Sites-CAA Consent Decree (HQ Lead)","dow inc.",3e+06,2021,2021-06-10,"Environmental Protection Agency",37428342622.9508,"DOW",53.0900001525879,68.8399963378906,48532058046.5595,6.18148110908862e-05
"CSRA, LLC","general dynamics",2778123,2017,2017-07-31,"Labor Department Wage and Hour Division",59354991393.4426,"GD",261.179992675781,197.940002441406,44983258560.3603,6.17590430064599e-05
"Duke Energy Corporation","duke energy",3500000,2018,2018-06-08,"Federal Energy Regulatory Commission",73237086885.2459,"DUK",94.5400009155273,73.4800033569336,56922586609.538,6.1487016112046e-05
"Keurig Green Mountain, Inc.","keurig dr pepper inc.",5800000,2017,2017-02-21,"Consumer Product Safety Commission",31553393442.6229,"KDP",31.1399993896484,93.9800033569336,95227619774.6524,6.09066992719673e-05
"Tesoro Refining and Marketing Co.","marathon petroleum",1397710,2017,2017-02-09,"National Labor Relations Board",72481548360.6557,"MPC",155.100006103516,49.1199989318848,22954825518.708,6.08895937309946e-05
"TracFone Wireless Inc.","verizon communications",13400000,2022,2022-04-04,"Justice Department Civil Division",174437320491.803,"VZ",41.2799987792969,52.1199989318848,220244021961.39,6.08416059635394e-05
"Northern Trust Securities","northern trust",6e+05,2011,2011-06-02,"Financial Industry Regulatory Authority",16861909836.0656,"NTRS",80.879997253418,47.5200004577637,9906997902.31193,6.05632509380043e-05
"MetLife Securities, Inc.","metlife",1200000,2009,2009-11-18,"Financial Industry Regulatory Authority",43547875819.6721,"MET",69.6800003051758,31.7112293243408,19818551530.6745,6.05493291546904e-05
"Dominion Oklahoma Texas Exploration & Production Inc.","dominion energy",2219974,2010,2010-08-20,"Justice Department Civil Division",37138952459.0164,"D",44.1500015258789,43.6699981689453,36735173948.5474,6.04318357961058e-05
"Motorola Corporation","motorola solutions",6e+05,2001,2001-05-03,"State Department Directorate of Defense Trade Controls",54769965983.6066,"MSI",328.350006103516,59.6252593994141,9945708446.37075,6.03275275195648e-05
"FEDERAL EXPRESS CORP","fedex",1595000,2013,2013-09-30,"Federal Aviation Administration",58064656557.377,"FDX",249.729995727539,113.769996643066,26452632421.541,6.02964564956173e-05
"Merrill Lynch, Pierce, Fenner & Smith, Inc.","bank of america",15200000,2022,2022-06-02,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,36.6699981689453,253771876597.269,5.98963139801425e-05
"Merck and Company","merck",6075000,2008,2008-03-10,"Environmental Protection Agency",302795834426.229,"MRK",118.879997253418,39.8377876281738,101469687291.913,5.98700967957371e-05
"Ford Motor Co. et al.","ford motor",1600000,2007,2007-12-20,"Equal Employment Opportunity Commission",43628444672.1311,"F",11.0299997329712,6.76000022888184,26738740082.4459,5.98382719255499e-05
"Lockheed Martin","lockheed martin",4400000,2018,2018-01-19,"U.S. Attorney-Northern District of California",95803764754.0984,"LMT",431.649993896484,333,73908616041.2769,5.95329778268702e-05
"Teavana","starbucks",3750000,2016,2016-06-01,"Consumer Product Safety Commission",105707567622.951,"SBUX",92.0400009155273,54.8899993896484,63040941597.0154,5.94851521091103e-05
"Acclarent Inc.","johnson & johnson",1.8e+07,2016,2016-07-22,"Justice Department Civil Division",384633235245.902,"JNJ",158.960006713867,125.150001525879,302823653402.181,5.94405351027654e-05
"PNC Bank, National Association","pnc financial services",2e+06,2014,2014-10-06,"Office of the Comptroller of the Currency",60149581147.541,"PNC",150.229995727539,85.0100021362305,34036585018.0777,5.87603015677909e-05
"Morgan Stanley Smith Barney","morgan stanley",3600000,2018,2018-06-29,"Securities and Exchange Commission",111243387704.918,"MS",87.5699996948242,48.2900009155273,61344562211.2336,5.86849081684498e-05
"Bank of America","bank of america",1.2e+07,2023,2023-11-28,"Consumer Financial Protection Bureau",228235527459.016,"BAC",32.9799995422363,29.5599994659424,204567682335.999,5.8660292099757e-05
"Compass Bank","pnc financial services",1750000,2007,2007-01-12,"Justice Department Civil Rights Division",60149581147.541,"PNC",150.229995727539,74.9800033569336,30020741027.912,5.82930314202746e-05
"Bristol-Myers Squibb","bristol-myers squibb",2328154,2009,2009-05-05,"Environmental Protection Agency",102752828278.689,"BMY",50.2400016784668,19.5300006866455,39943525871.6895,5.82861414758107e-05
"Caremark L.L.C.","cvs health",6e+06,2014,2014-09-26,"Justice Department Civil Division",95779100819.6721,"CVS",74.1900024414062,79.8399963378906,103073228292.835,5.82110417940316e-05
"Lockheed Martin Services, Inc.","lockheed martin",1019200,2009,2009-09-30,"National Labor Relations Board",95803764754.0984,"LMT",431.649993896484,79.0500030517578,17544973944.7872,5.80907103770773e-05
"Caterpillar, Inc.","caterpillar inc.",2550000,2011,2011-09-07,"Environmental Protection Agency",149051143852.459,"CAT",290.679992675781,85.6999969482422,43944140963.0668,5.80282136392919e-05
"CSX Transportation, Inc.","csx",2700000,2018,2018-07-24,"Environmental Protection Agency",68308821721.3115,"CSX",34.3899993896484,23.4266662597656,46532363985.58,5.80241313516053e-05
"Phelps Dodge Sierrita, Inc.","freeport-mcmoran",1360000,2004,2004-06-21,"Justice Department Environment and Natural Resources Division",57309118032.7869,"FCX",39.7200012207031,16.2600002288818,23460378743.5039,5.79700786107974e-05
"Norfolk Southern","norfolk southern",2500000,2020,2020-07-28,"Equal Employment Opportunity Commission",53884530737.7049,"NSC",237.070007324219,189.929992675781,43169900080.8386,5.7910720092439e-05
"United Airlines Inc.","united airlines holdings",1000040,2015,2015-06-11,"Equal Employment Opportunity Commission",13457053688.5246,"UAL",40.8400001525879,52.4199981689453,17272740623.8062,5.78970078796696e-05
"CVS Pharmacy, Inc.","cvs health",2780000,2009,2009-09-08,"Federal Trade Commission",95779100819.6721,"CVS",74.1900024414062,37.2000007629395,48025104546.6595,5.78863914246985e-05
"PNC Financial Services Group","pnc financial services",3500000,2018,2018-01-12,"Federal Reserve",60149581147.541,"PNC",150.229995727539,151.490005493164,60654068013.011,5.77042911490983e-05
"AMERICAN EAGLE AIRLINES INC","american airlines",280000,2010,2010-04-02,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,7.40000009536743,4860902007.39292,5.76024778064132e-05
"HONEYWELL RESIN & CHEMICALS, LLC","honeywell international",3e+06,2013,2013-07-18,"Environmental Protection Agency",132443272540.984,"HON",199.869995117188,78.5957870483398,52081270320.3055,5.76022816177423e-05
"Tyson Foods, Inc.","tyson foods",5e+05,2013,2013-09-13,"Labor Department Wage and Hour Division",15327402049.1803,"TSN",53.1800003051758,30.2000007629395,8704166057.21745,5.74437570139649e-05
"DuPont","dupont de nemours",1853000,2014,2014-09-15,"Environmental Protection Agency",27750625819.6721,"DD",64.1999969482422,74.9636154174805,32403229601.6684,5.71856578118556e-05
"E I DU PONT DE NEMOURS AND COMPANY","dupont de nemours",1853000,2014,2014-09-15,"Environmental Protection Agency",27750625819.6721,"DD",64.1999969482422,74.9636154174805,32403229601.6684,5.71856578118556e-05
"E*TRADE Securities","morgan stanley",2500000,2014,2014-10-09,"Securities and Exchange Commission",111243387704.918,"MS",87.5699996948242,34.5,43826617439.6996,5.7042960329752e-05
"U.S. Bank","u.s. bancorp",3200000,2013,2013-06-27,"Consumer Financial Protection Bureau",66481224180.3279,"USB",42.4799995422363,35.9300003051758,56230471535.4969,5.69086460173096e-05
"G&K Services Co.","cintas",265983,2013,2013-11-04,"Office of Federal Contract Compliance Programs",52004727868.8525,"CTAS",597.950012207031,53.9900016784668,4695602119.9234,5.6645131594825e-05
"Wachovia Bank","wells fargo",5798744,2004,2004-01-15,"Labor Department Wage and Hour Division",180655509426.229,"WFC",49.4900016784668,28.1650009155273,102811930002.392,5.6401470139361e-05
"King Soopers, Inc.","kroger",411002,2009,2009-02-23,"National Labor Relations Board",30307453688.5246,"KR",46.0999984741211,11.085000038147,7287595149.96574,5.63974797642172e-05
"Equifax Information Services LLC","equifax",392803,2013,2013-03-15,"Federal Trade Commission",30538061475.4098,"EFX",247.419998168945,56.4900016784668,6972335125.57494,5.63373665960455e-05
"Fred Meyer Stores, Inc.","kroger",485000,2008,2008-12-11,"Equal Employment Opportunity Commission",30307453688.5246,"KR",46.0999984741211,13.1300001144409,8632036519.96059,5.61860458859845e-05
"The Bank of New York Mellon Corporation","bank of new york mellon",1925000,2022,2022-11-21,"Office of Federal Contract Compliance Programs",42446631147.541,"BK",54.9099998474121,44.560001373291,34445855900.2372,5.588480674062e-05
"Family Dollar Inc.","dollar tree",1e+05,2006,2006-06-13,"Consumer Product Safety Commission",27318184836.0656,"DLTR",130.160003662109,8.53666687011719,1791688974.18883,5.58132585736728e-05
"NORTHWEST AIRLINES INC","delta air lines",280000,2009,2009-11-19,"Federal Aviation Administration",24722305737.7049,"DAL",38.189998626709,7.76000022888184,5023438205.85806,5.57387168958263e-05
"Goodrich Corporation","rtx corporation",3e+06,2006,2006-03-28,"State Department Directorate of Defense Trade Controls",129340960655.738,"RTX",89.4899978637695,37.2687225341797,53864928931.175,5.56948660200257e-05
"Citibank N.A.","citigroup",4500000,2020,2020-09-28,"Commodity Futures Trading Commission",102457683196.721,"C",53.2599983215332,42.0200004577637,80834998695.2025,5.56689561778526e-05
"Morgan Stanley Smith Barney","morgan stanley",2963735,2017,2017-01-24,"Securities and Exchange Commission",111243387704.918,"MS",87.5699996948242,41.9599990844727,53303328337.5458,5.56013121963419e-05
"Goldman Sachs & Co. LLC","goldman sachs",6e+06,2023,2023-09-22,"Securities and Exchange Commission",124355557377.049,"GS",379.399993896484,330.239990234375,108242432035.968,5.543112702795e-05
"Wal-mart Stores, Inc.","walmart",6116000,2013,2013-05-28,"Environmental Protection Agency",230136705737.705,"WMT",160.5,77.3099975585938,110852761113.55,5.51722838345468e-05
"Henry Schein, Inc.","henry schein",165000,2007,2007-08-31,"Bureau of Industry and Security",9636610245.90164,"HSIC",73.2600021362305,22.764705657959,2994466139.66083,5.5101641596351e-05
"JENNIE-O-TURKEY STORE, INC","hormel foods",238000,2011,2011-07-21,"Occupational Safety & Health Administration",8838731967.21311,"HRL",30.3999996185303,14.9399995803833,4343771497.97045,5.47910957358603e-05
"Bunge Global Markets, Inc.","bunge",550000,2011,2011-03-22,"Commodity Futures Trading Commission",13012280737.7049,"BG",89.1100006103516,68.7900009155273,10045054401.625,5.47533122280578e-05
"Hormel Foods Corp.","hormel foods",550000,2016,2016-12-20,"Office of Federal Contract Compliance Programs",8838731967.21311,"HRL",30.3999996185303,34.7799987792969,10112206937.0956,5.43897097262106e-05
"T-Mobile USA Inc.","t-mobile us",819000,2014,2014-08-27,"Federal Communications Commission",82858898770.4918,"TMUS",162,29.4699993133545,15073158579.455,5.43349952621287e-05
"US Airways","american airlines",395850,2012,2012-05-17,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,11.1300001144409,7311059351.53139,5.41440003379379e-05
"General Electric","general electric",11500000,2006,2006-07-21,"Justice Department Civil Division",142141953688.525,"GE",129.929992675781,195.039932250977,213371496807.596,5.38966083664395e-05
"Scottrade, Inc.","charles schwab corp.",2600000,2015,2015-11-16,"Financial Industry Regulatory Authority",94974234426.2295,"SCHW",63.4799995422363,32.310001373291,48339912836.5941,5.378578171601e-05
"IDEX Corporation","idex corp.",380000,2017,2017-04-19,"Equal Employment Opportunity Commission",15562120491.8033,"IEX",205.690002441406,93.5299987792969,7076304600.73655,5.37003452282773e-05
"CSXT TRANSPORTATION, INC.","csx",2200000,2019,2019-01-03,"Environmental Protection Agency",68308821721.3115,"CSX",34.3899993896484,20.6499996185303,41017073786.629,5.3636200657424e-05
"United Airlines","united airlines holdings",1300000,2015,2015-01-27,"Federal Aviation Administration",13457053688.5246,"UAL",40.8400001525879,73.620002746582,24258284177.4868,5.35899402648799e-05
"XTO Energy Inc","exxon mobil",20100000,2013,2013-07-18,"Environmental Protection Agency",401020364344.262,"XOM",99.5999984741211,93.4599990844727,376298829906.185,5.34149946865663e-05
"Sprint Corp.","t-mobile us",1175000,2015,2015-09-24,"Federal Communications Commission",82858898770.4918,"TMUS",162,43.0299987792969,22008755018.1984,5.33878449293667e-05
"Merrill Lynch, Pierce, Fenner & Smith, Inc.","bank of america",5e+06,2016,2016-06-23,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,13.6099996566772,94186946436.4501,5.30859125300724e-05
"CINTAS CORPORATION","cintas",176594,2007,2007-07-23,"Occupational Safety & Health Administration",52004727868.8525,"CTAS",597.950012207031,38.5200004577637,3350149846.005,5.27122690379314e-05
"Wells Fargo","wells fargo",6500000,2012,2012-08-14,"Securities and Exchange Commission",180655509426.229,"WFC",49.4900016784668,33.9599990844727,123965664308.899,5.24338738168918e-05
"RAE Systems Inc.","honeywell international",1700000,2010,2010-12-10,"Justice Department Criminal Division",132443272540.984,"HON",199.869995117188,48.9459915161133,32433919310.1817,5.24142637139242e-05
"Duke Energy","duke energy",3e+06,2014,2014-05-02,"Environmental Protection Agency",73237086885.2459,"DUK",94.5400009155273,74.5800018310547,57774719918.642,5.19258250706292e-05
"LavaFlow Inc.","citigroup",5e+06,2014,2014-07-25,"Securities and Exchange Commission",102457683196.721,"C",53.2599983215332,50.0900001525879,96359472938.2976,5.18890343370981e-05
"Coventry Health Care Inc.","cvs health",3e+06,2012,2012-11-19,"U.S. Attorney-District of Maryland",95779100819.6721,"CVS",74.1900024414062,44.7999992370605,57836682874.3068,5.18701946741955e-05
"Merrill Lynch","bank of america",6e+06,2014,2014-10-27,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,16.7199993133545,115709457712.718,5.18540153813246e-05
"Taco Bell","yum brands",151500,2003,2003-07-23,"Equal Employment Opportunity Commission",36527697950.8197,"YUM",129.440002441406,10.3630475997925,2924430357.19611,5.18049607942298e-05
"ExxonMobil Oil Corporation","exxon mobil",11515463,2021,2021-04-13,"Environmental Protection Agency",401020364344.262,"XOM",99.5999984741211,55.5,223460146205.619,5.15325134952876e-05
"Goldman Sachs & Co.","goldman sachs",5500000,2023,2023-08-29,"Commodity Futures Trading Commission",124355557377.049,"GS",379.399993896484,325.970001220703,106842861998.195,5.14774679107056e-05
"Carefusion Corporation","becton dickinson",3300000,2019,2019-05-13,"U.S. Attorney-Southern District of New York",68462560245.9016,"BDX",234.570007324219,219.902435302734,64181622778.0776,5.14165871344589e-05
"Northern Trust Company","northern trust",1e+06,2019,2019-10-01,"Commodity Futures Trading Commission",16861909836.0656,"NTRS",80.879997253418,93.3199996948242,19455408929.175,5.13995878287821e-05
"Merit Health Insurance Company","centene",1368200,2018,2018-02-06,"Centers for Medicare & Medicaid Services",40529832377.0492,"CNC",75.4800033569336,49.689998626709,26681600762.9565,5.12787824147172e-05
"American International Group, Inc.","american international group",4.6e+07,2004,2004-11-30,"Securities and Exchange Commission",48802115983.6066,"AIG",69.1600036621094,1275.59997558594,900115307416.28,5.11045636275644e-05
"American Airlines","american airlines",1600000,2016,2016-12-14,"Transportation Department Aviation Consumer Protection Division",9150319672.13115,"AAL",13.9300003051758,47.8400001525879,31425074294.3869,5.09147563188351e-05
"Dollar Tree Stores inc.","dollar tree",825000,2015,2015-12-05,"Occupational Safety & Health Administration corporate-wide settlements",27318184836.0656,"DLTR",130.160003662109,77.2399978637695,16211251375.3257,5.08905809242886e-05
"Boeing Company","boeing",6610000,2021,2021-02-25,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,229.339996337891,130843881274.391,5.05182201538202e-05
"ABB Vetco Gray Inc. and ABB Vetco Gray UK Ltd.","general electric",10500000,2004,2004-07-06,"Justice Department Criminal Division",142141953688.525,"GE",129.929992675781,190.17594909668,208050353828.815,5.04685515153677e-05
"BALL AEROSOL AND SPECIALTY CONTAINER, INC.","ball corp.",336000,2012,2012-10-17,"Occupational Safety & Health Administration",17640056967.2131,"BALL",55.8699989318848,21.1949996948242,6691981549.75068,5.02093434511214e-05
"CSX Transportation Inc.","csx",256000,2005,2005-09-30,"Federal Railroad Administration",68308821721.3115,"CSX",34.3899993896484,2.56833291053772,5101477116.03934,5.01815443207853e-05
"Merrill Lynch, Pierce, Fenner & Smith Inc.","bank of america",7030000,2016,2016-11-30,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,20.2900009155273,140415376754.893,5.00657418188001e-05
"Uber Technologies Inc.","uber technologies",2238500,2022,2022-07-18,"Justice Department Civil Rights Division",131885867622.951,"UBER",63.7599983215332,21.6700000762939,44823821152.5523,4.99399636720293e-05
"US AIRWAYS INC","american airlines",225000,2008,2008-09-23,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,6.8600001335144,4506187566.21247,4.99313436677729e-05
"Merrill Lynch, Pierce, Fenner & Smith, Inc.","bank of america",2800000,2012,2012-06-21,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,8.14000034332275,56332240681.0702,4.97051061017161e-05
"Maxwell Technologies, Inc.","tesla inc.",2800000,2018,2018-03-27,"Securities and Exchange Commission",577437376639.344,"TSLA",207.830001831055,20.2786674499512,56342493532.5759,4.96960610800994e-05
"U.S. Bancorp","u.s. bancorp",4400000,2018,2018-01-12,"Federal Reserve",66481224180.3279,"USB",42.4799995422363,56.6800003051758,88704233696.6814,4.96030439206039e-05
"CVS Pharmacy Inc.","cvs health",5e+06,2017,2017-07-11,"U.S. Attorney-Eastern District of California",95779100819.6721,"CVS",74.1900024414062,78.1399993896484,100878536639.773,4.95645572046161e-05
"Wind River Systems, Inc.","aptiv plc",750000,2014,2014-10-07,"Bureau of Industry and Security",23667511475.4098,"APTV",83.0800018310547,53.2020111083984,15155984360.5135,4.94854033997293e-05
"Taco Bell Corporation","yum brands",350000,2009,2009-08-28,"Equal Employment Opportunity Commission",36527697950.8197,"YUM",129.440002441406,25.0898628234863,7080306810.55242,4.94328860831798e-05
"NOBLE ENERGY","chevron",8950000,2015,2015-06-02,"Environmental Protection Agency",255731292622.951,"CVX",144.919998168945,102.629997253418,181104762566.376,4.94189102107116e-05
"Versa-Matic Pump Company","idex corp.",55000,2003,2003-05-08,"Bureau of Industry and Security",15562120491.8033,"IEX",205.690002441406,14.7688894271851,1117386523.73951,4.92220004729732e-05
"Southwest Airlines, Co.","southwest airlines",5e+05,2003,2003-08-28,"Transportation Department Aviation Consumer Protection Division",18621681557.377,"LUV",31.1100006103516,16.9899997711182,10169796180.9874,4.9165193785767e-05
