"Company","Parent","Penalty","Year","Date","Agency"
"Sterling Suffolk Racecourse LLC","Sterling Suffolk Racecourse, LLC",4992000,2012,2012-08-22,"Environmental Protection Agency referral to the Justice Department"
"Suiza Dairy","Dairy Farmers of America (DFA)",4025000,2012,2012-10-01,"Environmental Protection Agency referral to the Justice Department"
"SunCoke Energy Inc.","SunCoke Energy",102250000,2013,2013-06-26,"Environmental Protection Agency referral to the Justice Department"
"Sunoco","Energy Transfer",291900000,2005,2005-06-16,"Justice Department Environment and Natural Resources Division"
"Superior Crude Gathering Inc.","Superior Crude Gathering",1610000,2014,2014-10-29,"Environmental Protection Agency referral to the Justice Department"
"Syngenta Seeds, Inc","ChemChina",1500000,2006,2006-12-21,"Justice Department Environment and Natural Resources Division"
"Tampa Electric Company","Emera",16500000,2000,2000-02-29,"Justice Department Environment and Natural Resources Division"
"Tanknology-NDE, International, Inc.",NA,2290000,2002,2002-10-30,"Justice Department Environment and Natural Resources Division"
"TE Products Pipeline Company, LLC and TEPPCO Crude Pipeline, LLC","Enterprise Products Partners",2865000,2007,2007-08-16,"Justice Department Environment and Natural Resources Division"
"Temple Inland","International Paper",2700000,2012,2012-05-30,"Environmental Protection Agency"
"Terminix International Company LP","Rentokil Initial PLC",1e+07,2016,2016-03-29,"Environmental Protection Agency"
"Terra Industries Inc.","CF Industries",17625000,2011,2011-04-19,"Environmental Protection Agency referral to the Justice Department"
"Tesoro Corp.","Marathon Petroleum",425450000,2016,2016-07-18,"Environmental Protection Agency"
"Teva Pharmaceuticals USA Inc.","Teva Pharmaceutical Industries",2250000,2013,2013-03-14,"Environmental Protection Agency referral to the Justice Department"
"Titanium Metals Corporation","Berkshire Hathaway",13750000,2014,2014-05-14,"Environmental Protection Agency referral to the Justice Department"
"Tonawanda Coke Corp.","Tonawanda Coke",11950000,2015,2015-05-11,"Environmental Protection Agency referral to the Justice Department"
"Tonawanda Coke Corporation","Tonawanda Coke",24700000,2014,2014-03-19,"Environmental Protection Agency"
"Torch Energy Company, Nuevo Energy Company and Black Hawk Oil & Gas Company",NA,3000300,2002,2002-05-17,"Justice Department Environment and Natural Resources Division"
"Total Petrochemical USA Inc.","TotalEnergies SE",39900000,2007,2007-04-30,"Justice Department Environment and Natural Resources Division"
"Total Petrochemical USA Inc.","TotalEnergies SE",8750000,2013,2013-09-20,"Environmental Protection Agency referral to the Justice Department"
"Total Petroleum Puerto Rico Corp.","TotalEnergies SE",2026000,2015,2015-03-09,"Environmental Protection Agency referral to the Justice Department"
"Toyota Motor Corporation","Toyota",3.4e+07,2003,2003-03-07,"Justice Department Environment and Natural Resources Division"
"TPI Petroleum Inc.","Valero Energy",13900000,2000,2000-04-21,"Justice Department Environment and Natural Resources Division"
"Trader Joe's Company","Aldi",2500000,2016,2016-06-21,"Environmental Protection Agency"
"Trans Energy Inc.","EQT Corp.",3e+06,2014,2014-09-02,"Environmental Protection Agency referral to the Justice Department"
"Transcontinental Gas Pipe Line Corporation (Transco)","Williams Companies",1400000,2002,2002-02-01,"Justice Department Environment and Natural Resources Division"
"Transocean","Transocean",1e+09,2013,2013-01-03,"Environmental Protection Agency"
"Transocean Deepwater Inc.","Transocean",4e+08,2013,2013-02-14,"Environmental Protection Agency"
"Trident Seafoods Corp.","Trident Seafoods",32500000,2011,2011-09-28,"Environmental Protection Agency referral to the Justice Department"
"True Manufacturing Co",NA,3400000,2004,2004-04-28,"Justice Department Environment and Natural Resources Division"
"Tucson Electric Power","Fortis",3800000,2015,2015-06-24,"Environmental Protection Agency"
"Tyler Pipe Company","McWane",4500000,2005,2005-03-22,"Justice Department Environment and Natural Resources Division"
"Tyson Foods Inc","Tyson Foods",4250000,2013,2013-04-04,"Environmental Protection Agency referral to the Justice Department"
"Tyson Foods Inc.","Tyson Foods",5500000,2003,2003-06-25,"Justice Department Environment and Natural Resources Division"
"Tyson Fresh Meats, Inc.","Tyson Foods",2026500,2009,2009-08-20,"Justice Department Environment and Natural Resources Division"
"Union Foundry Company","McWane",4250000,2005,2005-09-07,"Justice Department Environment and Natural Resources Division"
"Union Pacific Railroad","Union Pacific",1500000,2012,2012-02-09,"Environmental Protection Agency"
"Union Pacific Railroad Company","Union Pacific",31800000,2009,2009-08-06,"Justice Department Environment and Natural Resources Division"
"U. S. Steel Corporation","United States Steel",4900000,2016,2016-11-22,"Environmental Protection Agency referral to the Justice Department"
"U.S. Energy Partners LLC",NA,2030000,2005,2005-01-13,"Justice Department Environment and Natural Resources Division"
"Valero","Valero Energy",7.11e+08,2005,2005-06-16,"Justice Department Environment and Natural Resources Division"
"Valero Energy Corp.","Valero Energy",236250000,2007,2007-08-16,"Justice Department Environment and Natural Resources Division"
"Valero Refining-Texas, L.P.","Valero Energy",1950000,2008,2008-06-10,"Justice Department Environment and Natural Resources Division"
"Vehicle Safety Systems Inc.",NA,9800000,2001,2001-01-18,"Justice Department Environment and Natural Resources Division"
"Vehicle Safety Systems Inc.",NA,6e+06,2001,2001-01-18,"Justice Department Environment and Natural Resources Division"
"Virginia Electric Power Co.","Dominion Energy",1219200000,2003,2003-04-21,"Justice Department Environment and Natural Resources Division"
"Virginia Electric Power Co.","Dominion Energy",19200000,2000,2000-11-16,"Justice Department Environment and Natural Resources Division"
"Volkswagen","Volkswagen",4.3e+09,2017,2017-01-11,"Environmental Protection Agency referral to the Justice Department"
"Volkswagen AG","Volkswagen",1.47e+10,2016,2016-06-28,"Environmental Protection Agency"
"Volkswagen AG","Volkswagen",2.25e+08,2016,2016-12-20,"Environmental Protection Agency referral to the Justice Department"
"Volkswagen of America","Volkswagen",27100000,2005,2005-06-15,"Justice Department Environment and Natural Resources Division"
"Vopak North America Inc.","Vopak",2500000,2017,2017-05-17,"Environmental Protection Agency referral to the Justice Department"
"Wal-Mart Stores","Walmart",3350000,2004,2004-05-12,"Justice Department Environment and Natural Resources Division"
"Wal-Mart Stores Inc.","Walmart",5500000,2001,2001-06-07,"Justice Department Environment and Natural Resources Division"
"Wal-Mart Stores Inc.","Walmart",81600000,2013,2013-05-28,"Environmental Protection Agency referral to the Justice Department"
"Washakie Renewable Energy LLC","Washakie Renewable Energy",3e+06,2015,2015-03-19,"Environmental Protection Agency referral to the Justice Department"
"Washington Beef LLC","Agri Beef",3750000,2010,2010-05-04,"Environmental Protection Agency referral to the Justice Department"
"Water Supply and Storage Company",NA,9e+06,2008,2008-05-05,"Justice Department Environment and Natural Resources Division"
"Westar Energy","Evergy Inc.",5.09e+08,2010,2010-01-25,"Environmental Protection Agency referral to the Justice Department"
"Western Refining LP","Marathon Petroleum",1450000,2011,2011-06-30,"Environmental Protection Agency"
"Willamette Industries","Weyerhaeuser",93200000,2000,2000-07-20,"Justice Department Environment and Natural Resources Division"
"Wisconsin Electric Power Company","WEC Energy Group",623200000,2003,2003-04-29,"Justice Department Environment and Natural Resources Division"
"Wisconsin Power and Light Company","Alliant Energy",1010950000,2013,2013-04-22,"Environmental Protection Agency referral to the Justice Department"
"Wisconsin Public Service Corporation","WEC Energy Group",307200000,2013,2013-01-04,"Environmental Protection Agency referral to the Justice Department"
"Wood Group PSN Inc.","Wood Group",9500000,2017,2017-02-23,"Environmental Protection Agency referral to the Justice Department"
"W.R. Grace & Co","Standard Industries Inc.",6.3e+07,2014,2014-02-05,"Environmental Protection Agency referral to the Justice Department"
"Wright Brothers Construction Co.","Wright Brothers Construction",1400000,2011,2011-12-12,"Environmental Protection Agency referral to the Justice Department"
"Wyoming Refining Co.","Par Pacific Holdings",14150000,2009,2009-02-10,"Justice Department Environment and Natural Resources Division"
"Xplor Energy",NA,3100000,2015,2015-03-04,"Environmental Protection Agency"
"XTO Energy Inc","Exxon Mobil",20100000,2013,2013-07-18,"Environmental Protection Agency referral to the Justice Department"
"XTO Energy Inc.","Exxon Mobil",5300000,2014,2014-12-22,"Environmental Protection Agency referral to the Justice Department"
"Black Elk Energy Offshore Operations LLC","Black Elk Energy Offshore Operations LLC",4200000,2017,2017-08-31,"Environmental Protection Agency referral to the Justice Department"
"AIREKO Construction Company",NA,1500000,2017,2017-08-16,"Environmental Protection Agency referral to the Justice Department"
"Exxon Mobil","Exxon Mobil",302500000,2017,2017-10-31,"Environmental Protection Agency referral to the Justice Department"
"PDC Energy Inc.","PDC Energy",22500000,2017,2017-10-31,"Environmental Protection Agency referral to the Justice Department"
"Tyson Poultry Inc.","Tyson Foods",2500000,2017,2017-09-27,"Environmental Protection Agency referral to the Justice Department"
"StarKist Co.","Dongwon Group",6388000,2017,2017-09-12,"Environmental Protection Agency referral to the Justice Department"
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)",1e+07,2005,2005-03-17,"Justice Department Environment and Natural Resources Division"
"Cargill Pork Inc.","JBS",1551000,2002,2002-02-28,"Justice Department Environment and Natural Resources Division"
"Matson Navigation Co.","Matson",3e+06,2001,2001-01-19,"Justice Department Environment and Natural Resources Division"
"TRW Vehicle Safety Systems Inc.","ZF Friedrichshafen",17600000,2001,2001-01-18,"Justice Department Environment and Natural Resources Division"
"Columbian Chemicals Company","Aditya Birla Group",95025000,2017,2017-12-22,"Environmental Protection Agency referral to the Justice Department"
"Orion Engineered Carbons, LLC","Orion Engineered Carbons",101350000,2017,2017-12-22,"Environmental Protection Agency referral to the Justice Department"
"Sid Richardson Carbon and Energy Company","Tokai Carbon",101489000,2017,2017-12-22,"Environmental Protection Agency referral to the Justice Department"
"ArcelorMittal Monessen  LLC","Cleveland-Cliffs",3500000,2017,2017-12-20,"Justice Department Environment and Natural Resources Division"
"Husqvarna AB",NA,2850000,2017,2017-12-05,"Environmental Protection Agency referral to the Justice Department"
"Terminix International Company LP","Rentokil Initial PLC",9200000,2017,2017-11-20,"Justice Department Environment and Natural Resources Division"
"Bunker Hill Mining Corp. (on behalf of Placer Mining Corporation)",NA,2e+07,2018,2018-03-06,"Environmental Protection Agency referral to the Justice Department"
"Shell Chemical LP","Shell PLC",10350000,2018,2018-02-12,"Environmental Protection Agency referral to the Justice Department"
"Tyson Poultry Inc.","Tyson Foods",2500000,2018,2018-02-27,"Justice Department Environment and Natural Resources Division"
"Sea World Management & Trading, Inc.",NA,2250000,2018,2018-02-26,"Justice Department Environment and Natural Resources Division"
"SunCoke Energy Inc.","SunCoke Energy",5250000,2018,2018-01-25,"Justice Department Environment and Natural Resources Division"
"MarkWest Liberty Midstream Resources, LLC and Ohio Gathering Company, LLC","MPLX LP",5610000,2018,2018-04-24,"Environmental Protection Agency referral to the Justice Department"
"CSX Transportation, Inc.","CSX",2700000,2018,2018-07-24,"Environmental Protection Agency referral to the Justice Department"
"Decostar Industries, Inc.",NA,3077900,2018,2018-06-13,"Environmental Protection Agency referral to the Justice Department"
"Goose Pond Ag, Inc. and Farmland Management Services, Inc.",NA,5300000,2018,2018-09-12,"Environmental Protection Agency referral to the Justice Department"
"Derive Systems",NA,6550000,2018,2018-09-24,"Environmental Protection Agency referral to the Justice Department"
"Hyundai Construction Equipment Americas Inc.","Hyundai Heavy Industries",1950000,2018,2018-11-16,"Environmental Protection Agency referral to the Justice Department"
"Westward Seafoods","Westward Seafoods",3200000,2017,2017-04-20,"Environmental Protection Agency referral to the Justice Department"
"NGL Crude Logistics, LLC","NGL Energy Partners",2.5e+07,2018,2018-09-27,"Environmental Protection Agency referral to the Justice Department"
"Chevron U.S.A. Inc.","Chevron",152950000,2018,2018-10-24,"Environmental Protection Agency referral to the Justice Department"
"Aux Sable Liquid Products LP","Aux Sable Companies",2700000,2018,2018-10-29,"Environmental Protection Agency referral to the Justice Department"
"MPLX LP","MPLX LP",4408000,2018,2018-11-01,"Environmental Protection Agency referral to the Justice Department"
"Sunoco Pipeline L.P.","Energy Transfer",5e+06,2019,2019-01-31,"Environmental Protection Agency referral to the Justice Department"
"Georgia-Pacific Chemicals LLC and Georgia-Pacific Consumer Operations LLC","Koch Industries",5500000,2018,2018-12-14,"Environmental Protection Agency referral to the Justice Department"
"Tradebe Treatment and Recycling Northeast, LLC","Tradebe",1445000,2018,2018-12-12,"Environmental Protection Agency referral to the Justice Department"
"Antero Resources Corporation","Antero Resources",11150000,2019,2019-02-11,"Environmental Protection Agency referral to the Justice Department"
"Navimax Corporation",NA,2e+06,2018,2018-12-12,"Environmental Protection Agency referral to the Justice Department"
"Avin International LTD, and Nicos I.V. Special Maritime Enterprises",NA,4e+06,2018,2018-11-27,"Environmental Protection Agency referral to the Justice Department"
"Carnival Cruise Lines","Carnival Corp.",2e+07,2019,2019-06-03,"Environmental Protection Agency referral to the Justice Department"
"Argos USA LLC","Argos",1505309,2019,2019-04-18,"Environmental Protection Agency referral to the Justice Department"
"Missouri Green Materials",NA,1500000,2019,2019-02-22,"Environmental Protection Agency referral to the Justice Department"
"C&J Well Services",NA,2100000,2019,2019-08-28,"Justice Department Environment and Natural Resources Division"
"Deer Park Refining Limited Partnership","Petroleos Mexicanos (Pemex)",138333333,2001,2001-03-21,"Justice Department Environment and Natural Resources Division"
"Delek Logistics Operating, LLC et al.","Delek",2255460,2019,2019-08-30,"Environmental Protection Agency referral to the Justice Department"
"Dow Silicones Corporation","Dow Inc.",4550000,2019,2019-06-25,"Environmental Protection Agency referral to the Justice Department"
"Dyno Nobel","Incitec Pivot",1431352,2019,2019-06-25,"Environmental Protection Agency referral to the Justice Department"
"Equilon Enterprises LLC","Shell PLC",138333333,2001,2001-03-21,"Justice Department Environment and Natural Resources Division"
"Sinclair Wyoming Refining Company","HF Sinclair Corporation",1600000,2019,2019-06-20,"Environmental Protection Agency referral to the Justice Department"
"Southeastern Grocers Inc.","Southeastern Grocers",4500000,2019,2019-08-23,"Environmental Protection Agency referral to the Justice Department"
"Dow Chemical Company","Dow Inc.",98750000,2019,2019-11-08,"Justice Department Environment and Natural Resources Division"
"Electro-Plating Services Inc.",NA,1449963,2019,2019-11-06,"Justice Department Environment and Natural Resources Division"
"AFCO C&S, LLC",NA,1489000,2019,2019-10-31,"Environmental Protection Agency referral to the Justice Department"
"Nederland Shipping Company and Chartworld Shipping Company",NA,1800000,2019,2019-10-15,"Environmental Protection Agency referral to the Justice Department"
"American Refining Group, Inc.",NA,4850000,2019,2019-10-08,"Environmental Protection Agency referral to the Justice Department"
"Hyundai Construction Equipment Americas Inc. and Hyundai Heavy Industries Co. Ltd.","Hyundai Heavy Industries",4.7e+07,2019,2019-09-19,"Justice Department Environment and Natural Resources Division"
"Green Compass Environmental and Santa Clara Waste Water Company",NA,2647621,2019,2019-08-23,"Environmental Protection Agency referral to the Justice Department"
"Interorient Marine Services Limited",NA,2e+06,2019,2019-02-13,"Justice Department Environment and Natural Resources Division"
"U.S. Technology Corporation",NA,1500000,2019,2019-01-11,"Justice Department Environment and Natural Resources Division"
"Aegean Shipping Management, S.A.",NA,2e+06,2017,2017-03-06,"Justice Department Environment and Natural Resources Division"
"Hachiuma Steamship Co., LTD",NA,2250000,2015,2015-01-30,"Justice Department Environment and Natural Resources Division"
"Citgo Petroleum Corporation","PDVSA (Petroleos de Venezuela S.A.)",2e+06,2014,2014-02-05,"Justice Department Environment and Natural Resources Division"
"TIN d/b/a Temple Inland","International Paper",3300000,2013,2013-05-29,"Justice Department Environment and Natural Resources Division"
"Shell Offshore Inc.","Shell PLC",2200000,2019,2019-01-08,"Justice Department Environment and Natural Resources Division"
"Dyno Nobel, Inc.","Incitec Pivot",2900000,2020,2020-02-27,"Environmental Protection Agency"
"Kohler Co.","Kohler",2e+07,2020,2020-01-30,"Environmental Protection Agency"
"US Development Group, LLC",NA,2400000,2020,2020-02-18,"Environmental Protection Agency"
"Gulfport Energy Corp.","Gulfport Energy",3700000,2020,2020-01-22,"Environmental Protection Agency"
"Skagit River Steel and Recycling, Inc.",NA,1708097,2019,2019-08-14,"Environmental Protection Agency"
"Plains All American Pipeline L.P. and Plains Pipeline L.P.","Plains GP Holdings",5925000,2020,2020-03-13,"Environmental Protection Agency"
"Unix Line PTE, Ltd.",NA,1650000,2020,2020-03-20,"Environmental Protection Agency"
"Daimler AG","Mercedes-Benz Group",1.5e+09,2020,2020-09-14,"Environmental Protection Agency referral to the Justice Department"
"Misuga Kaiun Co. Ltd.",NA,1500000,2020,2020-07-30,"Environmental Protection Agency referral to the Justice Department"
"Corteva","Corteva",3195000,2020,2020-07-13,"Environmental Protection Agency"
"HollyFrontier El Dorado Refining LLC","HF Sinclair Corporation",4e+06,2020,2020-05-28,"Environmental Protection Agency"
"Swix Sport USA",NA,1375625,2020,2020-05-20,"Environmental Protection Agency"
"DTE Energy","DTE Energy",7300000,2020,2020-05-14,"Environmental Protection Agency"
"Enbridge Energy","Enbridge",6772150,2020,2020-05-08,"Environmental Protection Agency"
"American Zinc Recycling","Befesa SA",8530000,2020,2020-04-29,"Environmental Protection Agency"
"Freedom Performance, LLC",NA,7058000,2020,2020-02-24,"Environmental Protection Agency"
"Pacific Carriers Limited",NA,1.2e+07,2020,2020-12-01,"Environmental Protection Agency referral to the Justice Department"
"Kronospan, LLC","Kronospan",8600000,2020,2020-11-09,"Environmental Protection Agency"
"Apache Nitrogen Products, Inc.",NA,1500000,2020,2020-10-29,"Environmental Protection Agency"
"Keystone Biofuels Inc.",NA,4149383,2020,2020-10-20,"Environmental Protection Agency referral to the Justice Department"
"Valero Energy Corporation","Valero Energy",4625000,2020,2020-10-19,"Environmental Protection Agency"
"Electrolux Home Products, Inc.","Electrolux",6991400,2020,2020-10-15,"Environmental Protection Agency"
"Churchill Downs Louisiana Horseracing Company LLC, d/b/a Fair Grounds Corporation","Churchill Downs Inc.",8390000,2020,2020-09-29,"Environmental Protection Agency"
"George E. Warren LLC",NA,5100000,2020,2020-09-11,"Environmental Protection Agency"
"Pacific International Lines (Private) Limited",NA,3e+06,2021,2021-02-18,"Environmental Protection Agency referral to the Justice Department"
"Fleur de Lis Energy and Fleur de Lis Operating, LLC",NA,1900000,2021,2021-02-10,"Environmental Protection Agency referral to the Justice Department"
"American Zinc Recycling Corp.","Befesa SA",7600000,2021,2021-02-09,"Environmental Protection Agency referral to the Justice Department"
"Titan International","Titan International",11500000,2021,2021-02-08,"Environmental Protection Agency referral to the Justice Department"
"Stericycle, Inc.","Stericycle",2600000,2021,2021-01-29,"Environmental Protection Agency referral to the Justice Department"
"Dow Chemical Company","Dow Inc.",3e+06,2021,2021-01-27,"Environmental Protection Agency referral to the Justice Department"
"U.S Magnesium","Renco",37250000,2021,2021-01-19,"Environmental Protection Agency referral to the Justice Department"
"Midwest Can Company",NA,1700000,2021,2021-01-19,"Environmental Protection Agency referral to the Justice Department"
"Toyota Motor Corporation","Toyota",1.8e+08,2021,2021-01-14,"Environmental Protection Agency referral to the Justice Department"
"Home Depot U.S.A. Inc.","Home Depot",20750000,2020,2020-12-17,"Environmental Protection Agency referral to the Justice Department"
"Rockwater Northeast, LLC",NA,2012400,2021,2021-04-20,"Environmental Protection Agency referral to the Justice Department"
"ExxonMobil Oil Corporation","Exxon Mobil",11515463,2021,2021-04-13,"Environmental Protection Agency referral to the Justice Department"
"Chesapeake Appalachia LLC","Chesapeake Energy",1900000,2021,2021-03-24,"Environmental Protection Agency referral to the Justice Department"
"Lone Star Industries Inc","Buzzi Unicem",2129000,2021,2021-06-03,"Environmental Protection Agency referral to the Justice Department"
"Formosa Plastics Corporation","Formosa Plastics",2850000,2021,2021-09-13,"Environmental Protection Agency referral to the Justice Department"
"Summit Midstream Partners LLC","Summit Midstream Partners",3.5e+07,2021,2021-08-06,"Environmental Protection Agency"
"CITGO Petroleum Corporation","PDVSA (Petroleos de Venezuela S.A.)",19690000,2021,2021-06-17,"Environmental Protection Agency referral to the Justice Department"
"United Parcel Service, Inc., and TForce Freight, Inc.","United Parcel Service",3800000,2021,2021-06-16,"Environmental Protection Agency referral to the Justice Department"
"Summit Midstream Partners LLC","Summit Midstream Partners",1.5e+07,2021,2021-12-06,"Environmental Protection Agency referral to the Justice Department"
"Navistar Inc.","Volkswagen",5.2e+07,2021,2021-10-25,"Environmental Protection Agency referral to the Justice Department"
"LyondellBasell Industries","LyondellBasell Industries",53400000,2021,2021-10-15,"Environmental Protection Agency referral to the Justice Department"
"Performance Materials NA, Inc.",NA,3100000,2021,2021-10-14,"Environmental Protection Agency referral to the Justice Department"
"Buckeye Pipe Line Co.","IFM Investors",4350000,2021,2021-10-13,"Environmental Protection Agency referral to the Justice Department"
"West Shore Pipe Line Co.",NA,4350000,2021,2021-10-13,"Environmental Protection Agency referral to the Justice Department"
"West Texas Gas Inc.","West Texas Gas",8e+06,2021,2021-10-01,"Environmental Protection Agency"
"Big Lake Gas Plant L.P.","West Texas Gas",3e+06,2021,2021-10-01,"Environmental Protection Agency"
"Firestone Polymers, LLC","Bridgestone",3350000,2021,2021-09-30,"Environmental Protection Agency"
"Diana Wilhelmsen Management Limited",NA,2e+06,2021,2021-09-23,"Environmental Protection Agency referral to the Justice Department"
"BNSF Railway Corporation","Berkshire Hathaway",1513750,2021,2021-12-17,"Environmental Protection Agency referral to the Justice Department"
"Cleveland-Cliffs","Cleveland-Cliffs",3e+06,2022,2022-02-14,"Environmental Protection Agency referral to the Justice Department"
"POWERTRAIN, INC","PowerTrain Inc.",2e+06,2011,2011-05-09,"Environmental Protection Agency"
"MTD",NA,2e+06,2008,2008-06-27,"Environmental Protection Agency"
"Midwest Can Company",NA,1700000,2021,2021-03-16,"Environmental Protection Agency"
"Electrolux Home Products, Inc.","Electrolux",6991400,2020,2020-10-06,"Environmental Protection Agency"
"Gulf Oil Limited Partnership","ArcLight Capital Partners",2400000,2020,2020-09-11,"Environmental Protection Agency"
"Freedom Performance, LLC.",NA,7058647,2020,2020-02-24,"Environmental Protection Agency"
"Whole Foods Market Group Inc.","Amazon.com",3250000,2017,2017-04-07,"Environmental Protection Agency"
"Chevron Phillips Chemical Company LP","Chevron Phillips Chemical",3400000,2022,2022-06-02,"Environmental Protection Agency"
"Wal-Mart Stores, Inc","Walmart",1512000,2013,2013-05-28,"Environmental Protection Agency"
"Wal-mart Stores, Inc.","Walmart",6116000,2013,2013-05-28,"Environmental Protection Agency"
"Dover Chemical Corporation","ICC Industries",1400000,2012,2012-08-31,"Environmental Protection Agency"
"Monsanto Company","Bayer",2500000,2010,2010-07-01,"Environmental Protection Agency"
"Elementis Chromium, LP","Elementis",2571800,2013,2013-11-12,"Environmental Protection Agency"
"E.I. DuPont de Nemours and Company","DuPont de Nemours",3300000,2010,2010-12-15,"Environmental Protection Agency"
"New Cingular - AWS","AT&T",1375000,2013,2013-01-03,"Environmental Protection Agency"
"Syngenta Seeds, Inc.","ChemChina",1517875,2007,2007-01-19,"Environmental Protection Agency"
"3M Company","3M Company",1521983,2006,2006-05-01,"Environmental Protection Agency"
"TOYOTA MOTOR SALES USA INC","Toyota",20500000,2003,2003-06-27,"Environmental Protection Agency"
"CUMMINS ENGINE CO., INC.","Cummins",28120000,2006,2006-11-01,"Environmental Protection Agency"
"MACK TRUCKS INCORPORATED HAGERSTOWN OPERATIONS","Volvo",13300000,2008,2008-07-06,"Environmental Protection Agency"
"DETROIT DIESEL CORP.","Daimler Truck AG",13073375,2005,2005-12-21,"Environmental Protection Agency"
"VOLVO TRUCK CORPORATION","Volvo",76625640,2012,2012-06-04,"Environmental Protection Agency"
"Spartan Diesel Technologies",NA,4154805,2018,2018-10-30,"Environmental Protection Agency"
"Valero Energy Corporation","Valero Energy",4625000,2020,2020-12-29,"Environmental Protection Agency"
"George E. Warren Corporation",NA,5100000,2020,2020-09-11,"Environmental Protection Agency"
"HUSQVARNA N.A. PRODUCT DEVELOPMENT CENTER",NA,2850000,2017,2017-12-07,"Environmental Protection Agency"
"MERCEDES-BENZ USA, LLC","Mercedes-Benz Group",8.75e+08,2021,2021-03-09,"Environmental Protection Agency"
"HYUNDAI CONSTRUCTION EQUIPMENT AMERICAS","Hyundai Heavy Industries",4.7e+07,2019,2019-10-17,"Environmental Protection Agency"
"POWER PERFORMANCE ENTERPRISES",NA,1550000,2022,2022-05-02,"Environmental Protection Agency"
"SUZUKI CORPORATION OF AMERICA","Suzuki Motor",2054924,2016,2016-11-08,"Environmental Protection Agency"
"CHRYSLER GROUP LLC","Stellantis",3.05e+08,2019,2019-05-03,"Environmental Protection Agency"
"TOYOTA MOTOR CORPORATION","Toyota",1.8e+08,2021,2021-04-02,"Environmental Protection Agency"
"Bandit Industries, Inc.",NA,3e+06,2017,2017-01-18,"Environmental Protection Agency"
"VOLKSWAGEN OF AMERICA","Volkswagen",1.45e+09,2017,2017-05-17,"Environmental Protection Agency"
"Harley-Davidson, Inc.","Harley-Davidson",1.2e+07,2020,2020-09-14,"Environmental Protection Agency"
"NGL and Western Dubuque Biodiesel",NA,3.1e+07,2018,2018-11-08,"Environmental Protection Agency"
"CHEMOIL CORPORATION","Glencore",2.7e+07,2016,2016-12-05,"Environmental Protection Agency"
"PEACE INDUSTRY GROUP (USA)",NA,1605582,2016,2016-12-23,"Environmental Protection Agency"
"HYUNDAI MOTOR AMERICA","Hyundai Motor",1e+08,2015,2015-01-09,"Environmental Protection Agency"
"NAVISTAR","Volkswagen",5.2e+07,2021,2021-12-14,"Environmental Protection Agency"
"Detroit Diesel Corporation","Daimler Truck AG",1.4e+07,2016,2016-12-19,"Environmental Protection Agency"
"Washakie Renewable Energy, LLC","Washakie Renewable Energy",3e+06,2015,2015-05-04,"Environmental Protection Agency"
"MotorScience Enterprise Inc","MotorScience",3610000,2014,2014-01-10,"Environmental Protection Agency"
"Marathon Petroleum","Marathon Petroleum",2900000,2015,2015-07-02,"Environmental Protection Agency"
"Rocky Mountain Pipeline","Plains GP Holdings",2500000,2011,2011-07-12,"Environmental Protection Agency"
"Caterpillar, Inc.","Caterpillar Inc.",2550000,2011,2011-09-07,"Environmental Protection Agency"
"Cummins Engine Company","Cummins",2100000,2010,2010-04-15,"Environmental Protection Agency"
"PEP BOYS AUTO","Icahn Enterprises",5025000,2010,2010-07-16,"Environmental Protection Agency"
"DaimlerChrysler Corporation","Stellantis",5e+06,2006,2006-03-02,"Environmental Protection Agency"
"Premier Performance LLC",NA,3e+06,2021,2021-02-04,"Environmental Protection Agency"
"SKAGIT RIVER STEEL & RECYCLING",NA,1708097,2019,2019-08-14,"Environmental Protection Agency"
"North Slope Borough",NA,6500000,2022,2022-06-09,"Environmental Protection Agency"
"Amazon Services LLC","Amazon.com",2739354,2018,2018-02-14,"Environmental Protection Agency"
"Dyno Nobel Inc","Incitec Pivot",1431852,2019,2019-09-20,"Environmental Protection Agency"
"TRIDENT SEAFOODS CORPORATION","Trident Seafoods",1855200,2019,2019-05-20,"Environmental Protection Agency"
"Tesoro Refining & Marketing Company LLC, et al. (NC)","Marathon Petroleum",4233333,2016,2016-09-28,"Environmental Protection Agency"
"Unisea Incorporated","Nissui (Nippon Suisan Kaisha)",1909375,2011,2011-05-26,"Environmental Protection Agency"
"Trident Seafoods Corporation","Trident Seafoods",2500000,2012,2012-06-18,"Environmental Protection Agency"
"P4 Production LLC","Bayer",1400000,2011,2011-06-23,"Environmental Protection Agency"
"BP Exploration (Alaska) Inc (BPXA)","BP",2.5e+07,2011,2011-07-13,"Environmental Protection Agency"
"BOISE CASCADE CORPORATION","Boise Cascade",4640000,2002,2002-05-13,"Environmental Protection Agency"
"OLYMPIC PIPELINE COMPANY",NA,7500000,2003,2003-06-30,"Environmental Protection Agency"
"WILLAMETTE INDUSTRIES, INC.","Weyerhaeuser",11231181,2000,2000-11-02,"Environmental Protection Agency"
"HVI CAT CANYON, INC., f/k/a/ GREKA OIL & GAS, INC.",NA,65389857,2023,2023-02-25,"Environmental Protection Agency"
"Apache Nitrogen",NA,1500000,2021,2021-02-16,"Environmental Protection Agency"
"Kohler Co.","Kohler",2e+07,2020,2020-04-06,"Environmental Protection Agency"
"Chevron","Chevron",8326044,2019,2019-03-07,"Environmental Protection Agency"
